"Genes","ProtDesc","logFC","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val"
"NAT10","RNA cytidine acetyltransferase",-0.49,"Up in X1",4.991,-10.6934316911338,7.24527639547458e-07,20.58,28,1.02072143885769e-05,7.40791566598491e-06,7.81330427729638e-05
"NIPSNAP1","Protein NipSnap homolog 1",0.81,"Up in X3",4.99,10.687523470091,7.28314243075416e-07,20.67,11,1.02361885422262e-05,2.51574364181602e-06,3.55266232186764e-05
"RPL7L1","60S ribosomal protein L7-like 1",-0.66,"Up in X1",4.988,-10.6803880787429,7.3291613193214e-07,19.64,12,1.02764567598163e-05,3.01270522375166e-06,4.01490468669788e-05
"MTREX","Exosome RNA helicase MTR4",-0.47,"Up in X1",4.988,-10.6771014090429,7.35046486696654e-07,19.26,21,1.02819623210026e-05,7.22480654972743e-06,7.67220512168875e-05
"CAT","Catalase",0.44,"Up in X3",4.987,10.6708373279188,7.39125458482658e-07,21.46,34,1.03146352307592e-05,9.79504932542851e-06,9.55381043472919e-05
"DDX5","Probable ATP-dependent RNA helicase DDX5;Probable ATP-dependent RNA helicase DDX5;Probable ATP-dependent RNA helicase DDX17",-0.48,"Up in X1",4.985,-10.6622376796968,7.44765521397173e-07,21.63,9,1.03445483335847e-05,2.16801429441482e-06,3.22315089951067e-05
"NLN","Neurolysin, mitochondrial",0.42,"Up in X3",4.985,10.6635845591555,7.43879083071013e-07,18.77,15,1.03445483335847e-05,6.74583066012893e-06,7.28377372554432e-05
"AKR1A1","Aldo-keto reductase family 1 member A1",0.8,"Up in X3",4.982,10.6505950280756,7.52476218282361e-07,19.74,21,1.0412437292562e-05,3.40024147156044e-06,4.41211157614542e-05
"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1",0.48,"Up in X3",4.982,10.6495497210702,7.53172749909843e-07,19.76,34,1.0412437292562e-05,8.35977606748119e-06,8.57173297278042e-05
"PKP2","Plakophilin-2",0.55,"Up in X3",4.978,10.6354540069355,7.62634270312056e-07,19.32,22,1.05186642830686e-05,5.62785938052513e-06,6.30682650654682e-05
"DDX54","ATP-dependent RNA helicase DDX54",-0.43,"Up in X1",4.951,-10.5622617505429,8.13892593168798e-07,19.82,23,1.11995406366972e-05,9.81699635679457e-06,9.55381043472919e-05
"LIMA1","LIM domain and actin-binding protein 1",0.63,"Up in X3",4.95,10.547460770863,8.24707878451895e-07,18.45,13,1.12200846067104e-05,3.68659953635239e-06,4.66102766166604e-05
"POLR1A","DNA-directed RNA polymerase III subunit RPC1;DNA-directed RNA polymerase I subunit RPA1",-0.53,"Up in X1",4.95,-10.5526052145625,8.20931102802707e-07,17.51,24,1.12200846067104e-05,6.40751341028302e-06,7.02097349048975e-05
"PRCP","Lysosomal Pro-X carboxypeptidase",0.74,"Up in X3",4.95,10.5553090414589,8.1895365872078e-07,18.9,11,1.12200846067104e-05,2.89101627306162e-06,3.9234273595655e-05
"PSAP","Prosaposin",-0.84,"Up in X1",4.95,-10.5474258358958,8.24733590488433e-07,22.47,20,1.12200846067104e-05,3.50777391995041e-06,4.49253209617891e-05
"U2SURP","U2 snRNP-associated SURP motif-containing protein",-0.36,"Non-significant",4.95,-10.5472448748815,8.24866791265677e-07,19.57,22,1.12200846067104e-05,1.52116178058235e-05,0.000130652848040288
"KTN1","Kinectin",0.36,"Non-significant",4.943,10.5274689174103,8.3956564356211e-07,20.78,78,1.13938300755895e-05,2.10937497021652e-05,0.000165973027909191
"RNPEP","Aminopeptidase B",0.66,"Up in X3",4.931,10.4936848561688,8.65341048087781e-07,20,30,1.17167573948179e-05,5.08597588603547e-06,5.85480920577274e-05
"GAPDH","Glyceraldehyde-3-phosphate dehydrogenase",0.56,"Up in X3",4.925,10.4746996809022,8.80203265862222e-07,24.29,21,1.18907824751296e-05,5.9315499186247e-06,6.57246832743489e-05
"COQ5","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",1.15,"Up in X3",4.912,10.4357871377389,9.11542230609373e-07,16.71,11,1.22581713148083e-05,2.81158762008913e-06,3.84207019585852e-05
"ERG28","Ergosterol biosynthetic protein 28 homolog",1.1,"Up in X3",4.912,10.4378189740357,9.09876104178367e-07,20.44,3,1.22581713148083e-05,2.81837939845638e-07,8.17468181405215e-06
"GLTPD2","Glycolipid transfer protein domain-containing protein 2",1.51,"Up in X3",4.901,10.403363720237,9.3858457515444e-07,17.42,6,1.25647170388887e-05,2.20887558946071e-06,3.25122310020871e-05
"SUCLG1","Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",0.48,"Up in X3",4.901,10.4034937160582,9.38474423804075e-07,20.96,9,1.25647170388887e-05,2.67979526728657e-06,3.72670963565672e-05
"ACOT9","Acyl-coenzyme A thioesterase 9, mitochondrial",0.56,"Up in X3",4.901,10.4002955400686,9.41188477972902e-07,19.05,11,1.25711336888615e-05,3.79114849682672e-06,4.73644835611854e-05
"EXOC5","Exocyst complex component 5",0.66,"Up in X3",4.895,10.3845951202999,9.54636902267193e-07,17.25,11,1.27220417808896e-05,3.46572061177288e-06,4.48169134668568e-05
"ACAD11","Acyl-CoA dehydrogenase family member 11",0.92,"Up in X3",4.895,10.380174278067,9.58461317486692e-07,19.42,11,1.27354340571066e-05,3.08964990962322e-06,4.09898172987457e-05
"TPI1","Triosephosphate isomerase",0.64,"Up in X3",4.895,10.3784626279995,9.59946525176535e-07,23.6,33,1.27354340571066e-05,5.77388477392267e-06,6.44605211458499e-05
"GCDH","Glutaryl-CoA dehydrogenase, mitochondrial",1.32,"Up in X3",4.891,10.3635864104397,9.72960821677867e-07,17.11,4,1.2840404372031e-05,1.29985910387694e-06,2.26172788406928e-05
"GUK1","Guanylate kinase",1.3,"Up in X3",4.891,10.3655510801992,9.71231085538326e-07,17.05,6,1.2840404372031e-05,2.13636701185653e-06,3.18634411377644e-05
"POLR1B","DNA-directed RNA polymerase I subunit RPA2",-0.58,"Up in X1",4.891,-10.3615817817557,9.7472919900789e-07,19.24,10,1.2840404372031e-05,3.33039739771154e-06,4.35010185480335e-05
"RSL1D1","Ribosomal L1 domain-containing protein 1",-0.45,"Up in X1",4.891,-10.3595341598198,9.76539119049171e-07,22.07,22,1.2840404372031e-05,9.80307344675234e-06,9.55381043472919e-05
"FTSJ3","pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3",-0.38,"Up in X1",4.89,-10.3542751976441,9.81204387685578e-07,19.93,21,1.28731404920966e-05,1.42265842011363e-05,0.000124830358050751
"FAHD2B","Fumarylacetoacetate hydrolase domain-containing protein 2B;Fumarylacetoacetate hydrolase domain-containing protein 2B;Fumarylacetoacetate hydrolase domain-containing protein 2A",0.96,"Up in X3",4.887,10.3397663936988,9.94201661039098e-07,18.57,4,1.29860733518065e-05,6.16876581179997e-07,1.33547552444234e-05
"MAP1LC3A","Microtubule-associated proteins 1A/1B light chain 3 beta 2",-1.36,"Up in X1",4.887,-10.3406833232742,9.93374728164058e-07,17.89,1,1.29860733518065e-05,5.59396411926633e-08,3.18264285516335e-06
"DHCR24","Delta(24)-sterol reductase",0.81,"Up in X3",4.879,10.3181070176982,1.01395492805802e-06,22.91,16,1.32149147782363e-05,4.03666235165948e-06,4.95537990347908e-05
"FAM207A","Protein FAM207A",-1.14,"Up in X1",4.878,-10.3143026251399,1.01746846788121e-06,17.77,6,1.32315624713256e-05,2.08139624996862e-06,3.14977534809829e-05
"SLC39A4","Zinc transporter ZIP4",0.73,"Up in X3",4.875,10.3040884373802,1.02696755356e-06,17.78,5,1.33258048561722e-05,5.98869981367661e-07,1.30276238226193e-05
"NCL","Nucleolin",-0.3,"Non-significant",4.873,-10.296592554706,1.03400011130926e-06,24.41,44,1.33876994718094e-05,4.58003971382391e-05,0.000309009064842601
"SPR","Sepiapterin reductase",0.55,"Up in X3",4.873,10.2926954686974,1.03767703306776e-06,19.81,13,1.34059716258994e-05,5.0419884108358e-06,5.82684480994442e-05
"GIPC2","PDZ domain-containing protein GIPC2",1.1,"Up in X3",4.869,10.279961462575,1.04979131096497e-06,16.74,5,1.35329306905877e-05,1.58941466705298e-06,2.60343091395861e-05
"ARHGEF40","Rho guanine nucleotide exchange factor 40",0.75,"Up in X3",4.868,10.2744478082952,1.05508436045237e-06,17.21,12,1.35368691007339e-05,3.81566291326282e-06,4.74312551633951e-05
"MXRA7","Matrix-remodeling-associated protein 7",1.42,"Up in X3",4.868,10.2725010126463,1.0569602035726e-06,17.59,1,1.35368691007339e-05,1.09774111909315e-07,4.74111985523664e-06
"RGN","Regucalcin",1.62,"Up in X3",4.868,10.2756042227235,1.05397180989125e-06,15.34,5,1.35368691007339e-05,2.25272133754439e-06,3.29934459263617e-05
"RBM28","RNA-binding protein 28",-0.38,"Up in X1",4.868,-10.2678815579375,1.06142585516664e-06,18.99,18,1.3564701479527e-05,1.30190287259848e-05,0.000117033278812773
"IPO7","Importin-7",-0.5,"Up in X1",4.867,-10.2652240254597,1.06400421749114e-06,19.38,18,1.35683468855497e-05,7.4031738119919e-06,7.81330427729638e-05
"SPRYD4","SPRY domain-containing protein 4",0.57,"Up in X3",4.867,10.2616949250881,1.06743873622671e-06,18.78,12,1.3582870972588e-05,4.61879019294749e-06,5.44409991467536e-05
"SLC6A6","Sodium- and chloride-dependent taurine transporter;Sodium- and chloride-dependent taurine transporter;Sodium- and chloride-dependent creatine transporter 1",1.45,"Up in X3",4.848,10.2109434921373,1.11818916307488e-06,16.75,1,1.41981229139787e-05,1.49041131241195e-07,5.45522317355516e-06
"FAH","Fumarylacetoacetase",0.59,"Up in X3",4.844,10.193735929927,1.13598836911946e-06,20.42,12,1.43191045025625e-05,4.70519354828893e-06,5.52393456849714e-05
"GSTM3","Glutathione S-transferase Mu 3;Glutathione S-transferase Mu 3",1.29,"Up in X3",4.844,10.1877643987786,1.14223716836395e-06,18.04,15,1.43191045025625e-05,3.60598022302656e-06,4.58389044039515e-05
"KHK","Ketohexokinase (Fragment)",3,"Up in X3",4.844,10.1896385718286,1.14027195188986e-06,15.94,1,1.43191045025625e-05,1.85615143003812e-06,2.91709255405235e-05
"MMUT","Methylmalonyl-CoA mutase, mitochondrial",0.49,"Up in X3",4.844,10.1943106618483,1.13538891890129e-06,19.78,22,1.43191045025625e-05,9.08279528145051e-06,9.01726504703736e-05
"NUP50","Nuclear pore complex protein Nup50",-0.54,"Up in X1",4.844,-10.1878854579755,1.14211011695921e-06,18.07,11,1.43191045025625e-05,4.5737638527516e-06,5.40178856621381e-05
"SLC6A4","Sodium-dependent serotonin transporter",1.32,"Up in X3",4.844,10.1951726904262,1.13449046180019e-06,16.54,3,1.43191045025625e-05,8.41196827712096e-07,1.67587933655639e-05
"NLRX1","NLR family member X1",1.73,"Up in X3",4.841,10.1780462682877,1.15248673100987e-06,16.38,19,1.44170485991235e-05,3.49173518813943e-06,4.48169134668568e-05
"NDRG1","Protein NDRG1",1.33,"Up in X3",4.836,10.1631806868636,1.16835959484164e-06,19.29,7,1.45847757862405e-05,2.88688180519646e-06,3.9234273595655e-05
"QDPR","Dihydropteridine reductase",0.65,"Up in X3",4.836,10.1605588587816,1.17118370144476e-06,19.37,11,1.4589250445155e-05,4.18737955084451e-06,5.04617613082423e-05
"GLUD1","Glutamate dehydrogenase 1, mitochondrial",0.35,"Non-significant",4.834,10.1533435261059,1.17899417272141e-06,22.39,27,1.46556901680516e-05,2.38544253171612e-05,0.000183307317664471
"PGM1","Phosphoglucomutase-1",0.79,"Up in X3",4.832,10.1462508883033,1.18672715953232e-06,19.28,28,1.47208901529407e-05,5.26558718462355e-06,5.99163064834952e-05
"CBR3","Carbonyl reductase [NADPH] 3;Carbonyl reductase [NADPH] 3;Carbonyl reductase [NADPH] 1",0.75,"Up in X3",4.829,10.1354556821659,1.19860324187088e-06,19.61,4,1.48371033099372e-05,2.19904685682611e-07,7.07851126395321e-06
"DDX10","Probable ATP-dependent RNA helicase DDX10",-0.94,"Up in X1",4.826,-10.1255805275547,1.20958059553872e-06,18.01,15,1.49417294025106e-05,4.22556802441524e-06,5.08184674806198e-05
"ISCA2","Iron-sulfur cluster assembly 2 homolog, mitochondrial",0.73,"Up in X3",4.825,10.1227529582165,1.21274389152322e-06,17.47,6,1.49495950127976e-05,1.52058093101717e-06,2.52721590983543e-05
"KIF22","Kinesin-like protein KIF22",-1.34,"Up in X1",4.823,-10.1158116540684,1.22054763825832e-06,16.61,6,1.50145122153316e-05,2.70809101528631e-06,3.74387255547876e-05
"DNAJC7","DnaJ homolog subfamily C member 7",-0.47,"Up in X1",4.808,-10.0760511156202,1.26631563981935e-06,18.18,7,1.55452067236745e-05,1.28468049349716e-06,2.25562447478419e-05
"SEC23IP","SEC23-interacting protein",0.36,"Non-significant",4.808,10.071116792906,1.27212465443188e-06,18.65,19,1.55519867361022e-05,1.79529493312635e-05,0.000146723206067799
"TMEM37","Voltage-dependent calcium channel gamma-like subunit",-1.39,"Up in X1",4.808,-10.0726499806048,1.27031658130801e-06,16.37,1,1.55519867361022e-05,1.29242744718658e-07,5.13241154698186e-06
"ETFB","Electron transfer flavoprotein subunit beta",0.39,"Up in X3",4.806,10.0614986067027,1.28353143005335e-06,23.06,22,1.5614045722028e-05,1.58128810217608e-05,0.000133742812189078
"SPG7","Paraplegin",0.69,"Up in X3",4.806,10.0601686069007,1.28511750323265e-06,18.07,15,1.5614045722028e-05,5.35612386310332e-06,6.05969118508267e-05
"USO1","General vesicular transport factor p115",0.31,"Non-significant",4.806,10.0642077776061,1.28030723571817e-06,20.1,32,1.5614045722028e-05,4.05670847661853e-05,0.000279435902865563
"SCPEP1","Retinoid-inducible serine carboxypeptidase",0.88,"Up in X3",4.804,10.051826041029,1.29511513657022e-06,18.3,6,1.57032710309139e-05,2.1303618809263e-06,3.18634411377644e-05
"CALCOCO2","Calcium-binding and coiled-coil domain-containing protein 2",-0.68,"Up in X1",4.802,-10.0451850274235,1.30313420982557e-06,17.79,10,1.57681904285029e-05,4.09799030141459e-06,4.99663217378375e-05
"AUH","Methylglutaconyl-CoA hydratase, mitochondrial",0.48,"Up in X3",4.802,10.0413574520552,1.30778058973259e-06,19.97,7,1.57921178560158e-05,1.39957050199358e-06,2.39342735846705e-05
"NSUN5","28S rRNA (cytosine-C(5))-methyltransferase",-0.53,"Up in X1",4.798,-10.0309562156026,1.32049826974536e-06,17.53,10,1.59132143830617e-05,4.51799107594391e-06,5.37886382220526e-05
"OGDH","2-oxoglutarate dehydrogenase, mitochondrial;2-oxoglutarate dehydrogenase, mitochondrial;2-oxoglutarate dehydrogenase-like, mitochondrial",0.82,"Up in X3",4.797,10.0248755150877,1.32799553889044e-06,19.01,7,1.59710357797047e-05,2.69705363198124e-06,3.737345747174e-05
"RIOK1","Serine/threonine-protein kinase RIO1",-1.21,"Up in X1",4.791,-10.009787859139,1.34679901889737e-06,17.21,4,1.61643200706202e-05,1.62012991546859e-06,2.62735488355803e-05
"CDH2","Cadherin-2",1.71,"Up in X3",4.79,10.0032010547996,1.35509879356198e-06,15.14,8,1.62310112581098e-05,3.61009454998164e-06,4.58389044039515e-05
"ACAD8","Isobutyryl-CoA dehydrogenase, mitochondrial",0.59,"Up in X3",4.784,9.98685736992444,1.37593440986825e-06,18.11,9,1.64472806125059e-05,3.79186275990515e-06,4.73644835611854e-05
"RFC2","Replication factor C subunit 2",-0.56,"Up in X1",4.783,-9.98153598050507,1.38279342866834e-06,18.92,9,1.64959449948197e-05,3.81323838895516e-06,4.74312551633951e-05
"DGAT1","Diacylglycerol O-acyltransferase 1",0.79,"Up in X3",4.78,9.97291513473994,1.39398444608917e-06,18.25,6,1.65959878621924e-05,2.02821011516885e-06,3.0930204256325e-05
"BPHL","Valacyclovir hydrolase",0.98,"Up in X3",4.779,9.96848423988722,1.39977468652642e-06,17.89,9,1.66314594782667e-05,3.83327528951351e-06,4.75502932663552e-05
"ITPRID2","Protein ITPRID2",0.63,"Up in X3",4.776,9.95966317744826,1.41138007416686e-06,17.13,12,1.67357432842592e-05,5.40521464555122e-06,6.09193429670982e-05
"FAHD2A","Fumarylacetoacetate hydrolase domain-containing protein 2B;Fumarylacetoacetate hydrolase domain-containing protein 2A",0.86,"Up in X3",4.77,9.94118118676107,1.43603703541907e-06,18.96,3,1.69940622771493e-05,8.0514238844048e-08,4.07181838666865e-06
"HEBP2","Heme-binding protein 2",0.71,"Up in X3",4.767,9.93128314006627,1.44943465673769e-06,17.91,7,1.71183729818701e-05,2.63998700544027e-06,3.69488460590082e-05
"EXOC3","Exocyst complex component 3",0.72,"Up in X3",4.766,9.92741914527135,1.45470170082031e-06,16.95,13,1.71463545094696e-05,5.39435817105962e-06,6.0913010110992e-05
"C2orf72","Uncharacterized protein C2orf72",0.61,"Up in X3",4.763,9.91885873865148,1.4664448496609e-06,18.03,8,1.72504059153947e-05,3.22497323137044e-06,4.25941218973636e-05
"CNNM3","Metal transporter CNNM3",0.52,"Up in X3",4.752,9.88984554476848,1.50701927576275e-06,18.74,16,1.76925259021591e-05,8.46474714288741e-06,8.59106498189791e-05
"FER","Tyrosine-protein kinase Fer",0.94,"Up in X3",4.75,9.8818241788743,1.51845155789693e-06,16.78,9,1.7791441322923e-05,4.13243349968302e-06,5.0091307948657e-05
"PNPLA2","Patatin-like phospholipase domain-containing protein 2",0.81,"Up in X3",4.743,9.86409298100581,1.54405908314478e-06,17.76,11,1.80557264722681e-05,4.89376602032579e-06,5.66661713155923e-05
"SLK","STE20-like serine/threonine-protein kinase",0.67,"Up in X3",4.741,9.85701111257804,1.55441785002409e-06,16.97,11,1.8141006742786e-05,5.26035194639692e-06,5.99163064834952e-05
"POLR1C","DNA-directed RNA polymerases I and III subunit RPAC1",-0.38,"Non-significant",4.73,-9.82669407184991,1.59962632604915e-06,19.18,10,1.86318680536079e-05,6.46051201994184e-06,7.06596111312308e-05
"COL18A1","Collagen alpha-1(XVIII) chain",-0.55,"Up in X1",4.727,-9.81718650456101,1.61409724776117e-06,18.53,16,1.87634841159191e-05,8.38778471456139e-06,8.57173297278042e-05
"TMPO","Lamina-associated polypeptide 2, isoform alpha;Lamina-associated polypeptide 2, isoform alpha;Lamina-associated polypeptide 2, isoforms beta/gamma",-0.49,"Up in X1",4.721,-9.80079183835469,1.63938653791519e-06,18.89,12,1.90200983232238e-05,7.52097824341968e-06,7.89164802286107e-05
"EMILIN1","EMILIN-1",-0.96,"Up in X1",4.712,-9.77483778938715,1.68030784558729e-06,17.02,29,1.94187139108203e-05,6.14788284091667e-06,6.76322143976588e-05
"PGK1","Phosphoglycerate kinase 1;Phosphoglycerate kinase 1",0.92,"Up in X3",4.712,9.77493587379467,1.68015112004292e-06,22.61,9,1.94187139108203e-05,4.53619692169562e-06,5.37889322358176e-05
"FLOT1","Flotillin-1",0.57,"Up in X3",4.707,9.76165476428596,1.70151805927573e-06,19.59,23,1.96255016700478e-05,9.5904408148005e-06,9.43746176002215e-05
"MOV10","Helicase MOV-10",0.56,"Up in X3",4.703,9.74960656139151,1.72115753433604e-06,19.92,32,1.981340297795e-05,1.06820262087015e-05,0.000100540277288196
"GPAA1","Glycosylphosphatidylinositol anchor attachment 1 protein",0.92,"Up in X3",4.697,9.73313804623278,1.74840270073346e-06,18.67,7,2.0070372279384e-05,3.75171816281502e-06,4.72317369561201e-05
"PGAM1","Phosphoglycerate mutase 1",0.87,"Up in X3",4.697,9.73202318217285,1.75026400137944e-06,21.06,16,2.0070372279384e-05,6.14942223186419e-06,6.76322143976588e-05
"G3BP1","Ras GTPase-activating protein-binding protein 1",-0.44,"Up in X1",4.695,-9.72306921811058,1.76529139196135e-06,21.14,17,2.02035380391399e-05,1.29582519193995e-05,0.000116881061901047
"ABCB10","ATP-binding cassette sub-family B member 10, mitochondrial",0.55,"Up in X3",4.693,9.71438620697965,1.77999826723528e-06,17.5,15,2.02933521141256e-05,8.70971637271721e-06,8.76573396783591e-05
"S100A11","Protein S100-A11",1.26,"Up in X3",4.693,9.71473895401665,1.77939820875035e-06,19.43,4,2.02933521141256e-05,2.35161820852655e-06,3.41025337117427e-05
"RHPN2","Rhophilin-2",1.67,"Up in X3",4.686,9.69597025700381,1.81163368742367e-06,14.4,4,2.0614301016319e-05,3.30187450739127e-06,4.34159810227425e-05
"DHX15","Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15",-0.33,"Non-significant",4.672,-9.65876532978865,1.87742870743091e-06,20.61,22,2.12888396232162e-05,3.04344076546151e-05,0.000223147943113207
"UTP15","U3 small nucleolar RNA-associated protein 15 homolog",-0.53,"Up in X1",4.672,-9.65838778557439,1.87810956283909e-06,18.66,20,2.12888396232162e-05,1.11618160888941e-05,0.000103517971470198
"GLCE","D-glucuronyl C5-epimerase",0.74,"Up in X3",4.67,9.65274061574133,1.88832568984667e-06,17.19,7,2.13637153094126e-05,3.5776297206316e-06,4.56224893469335e-05
"SEL1L","Protein sel-1 homolog 1",0.5,"Up in X3",4.669,9.64757042074616,1.89773198891358e-06,19.45,17,2.14291606458047e-05,1.1154459293525e-05,0.000103517971470198
"IVD","Isovaleryl-CoA dehydrogenase, mitochondrial",0.54,"Up in X3",4.666,9.63918644642142,1.91309379692697e-06,20.81,17,2.15614780884132e-05,1.01962551422295e-05,9.78189782945529e-05
"LTA4H","Leukotriene A-4 hydrolase",0.61,"Up in X3",4.656,9.61328222347484,1.96141904938835e-06,19.78,26,2.20640998388419e-05,1.0291491732618e-05,9.85352048250821e-05
"EMG1","Ribosomal RNA small subunit methyltransferase NEP1",-0.65,"Up in X1",4.651,-9.599493526328,1.98768286937927e-06,20.07,7,2.23171148730875e-05,3.37920349670761e-06,4.39444990989427e-05
"AHNAK","Neuroblast differentiation-associated protein AHNAK",0.4,"Up in X3",4.649,9.59190943787261,2.00229150882611e-06,21.09,185,2.24272207210043e-05,2.31890688999826e-05,0.0001791249617248
"IQGAP2","Ras GTPase-activating-like protein IQGAP2",0.3,"Non-significant",4.649,9.58855906621881,2.00878224434885e-06,20.17,69,2.24272207210043e-05,5.98377861924636e-05,0.000378269424039324
"SQLE","Squalene monooxygenase",0.67,"Up in X3",4.649,9.58851879625423,2.00886039921113e-06,19.83,12,2.24272207210043e-05,7.02087933177399e-06,7.48514288398319e-05
"ITM2B","Integral membrane protein 2B",-1,"Up in X1",4.648,-9.58397731576362,2.01769564877362e-06,17.25,5,2.24834372011177e-05,2.85577131712597e-06,3.89345596392497e-05
"RETREG2","Reticulophagy regulator 2",0.93,"Up in X3",4.648,9.58140154227858,2.02272548958738e-06,17.72,6,2.24971178982867e-05,3.57285239037398e-06,4.56224893469335e-05
"TTC7A","Tetratricopeptide repeat protein 7A",0.69,"Up in X3",4.647,9.57812262231925,2.02914815043377e-06,16.91,6,2.25262093923388e-05,2.4411858488784e-06,3.46390807381619e-05
"AP2B1","AP-2 complex subunit beta;AP-2 complex subunit beta;AP-1 complex subunit beta-1",0.3,"Non-significant",4.643,9.56260319492232,2.05984979009028e-06,20.6,20,2.27390507611272e-05,3.97545352681351e-05,0.000275442137214936
"LRPAP1","Alpha-2-macroglobulin receptor-associated protein",0.32,"Non-significant",4.643,9.56277357796705,2.05950999440951e-06,20.27,28,2.27390507611272e-05,4.26153926897998e-05,0.000290501472978739
"PAK1IP1","p21-activated protein kinase-interacting protein 1",-1.04,"Up in X1",4.643,-9.56625636377186,2.05257760889065e-06,19.95,16,2.27390507611272e-05,6.52966373087644e-06,7.12841702870773e-05
"IMP4","U3 small nucleolar ribonucleoprotein protein IMP4",-0.53,"Up in X1",4.637,-9.54692499994067,2.09137952496198e-06,19.72,8,2.30441203895718e-05,4.24913506228663e-06,5.09982396826571e-05
"POGLUT2","Protein O-glucosyltransferase 2",0.49,"Up in X3",4.629,9.52274745461017,2.14103609566701e-06,17.91,15,2.35037302004855e-05,1.16183098768673e-05,0.000106259976000369
"SFXN1","Sideroflexin-1",0.5,"Up in X3",4.629,9.52369320939914,2.13906974530546e-06,21.24,13,2.35037302004855e-05,9.99972439077339e-06,9.6838574828488e-05
"APOM","Apolipoprotein M",0.66,"Up in X3",4.623,9.50734517739262,2.17333788885099e-06,20.16,8,2.3814148682095e-05,4.84051471769197e-06,5.6269794861657e-05
"IPO4","Importin-4",-0.55,"Up in X1",4.623,-9.50498054495654,2.17834380077515e-06,18.83,17,2.38248803496979e-05,1.08752328367177e-05,0.00010181764666908
"GOLM2","Protein GOLM2",0.56,"Up in X3",4.614,9.48286674541684,2.22577059698582e-06,19.87,6,2.42986801150648e-05,1.7434066994207e-06,2.78052222115155e-05
"AURKA","Aurora kinase A;Aurora kinase A;Aurora kinase B",-2.12,"Up in X1",4.591,-9.42361807476945,2.35846772768636e-06,15.21,1,2.56684762719642e-05,2.38898232536206e-06,3.41904648105211e-05
"POFUT2","GDP-fucose protein O-fucosyltransferase 2",0.73,"Up in X3",4.591,9.42298954822776,2.35992075239962e-06,18.53,13,2.56684762719642e-05,8.06800541989614e-06,8.33130681841631e-05
"TSR1","Pre-rRNA-processing protein TSR1 homolog",-0.77,"Up in X1",4.586,-9.41107398277402,2.38765215742379e-06,18.34,11,2.59224547072965e-05,7.28561487899083e-06,7.71180379946131e-05
"MYBBP1A","Myb-binding protein 1A",-0.47,"Up in X1",4.586,-9.40905282014586,2.39239113206253e-06,20.53,33,2.59263339348241e-05,1.83563971884025e-05,0.000148787400224353
"SF3B3","Splicing factor 3B subunit 3",-0.27,"Non-significant",4.581,-9.39494279283148,2.42576104653425e-06,20.64,41,2.62399051413952e-05,9.45281616859023e-05,0.000534725748274841
"GCKR","Glucokinase regulatory protein",2.43,"Up in X3",4.58,9.39076106765694,2.43574775625528e-06,15.54,9,2.62973512229561e-05,6.36844389552923e-06,6.99110993132588e-05
"SMC4","Structural maintenance of chromosomes protein 4",-0.73,"Up in X1",4.58,-9.38900269211852,2.4399604227485e-06,18.21,16,2.62973512229561e-05,9.04571250398209e-06,8.99554300606085e-05
"CALU","Calumenin",0.46,"Up in X3",4.578,9.37979564052983,2.46214821386715e-06,22.2,24,2.64401651206024e-05,1.80463916642864e-05,0.000147283447555286
"IARS2","Isoleucine--tRNA ligase, mitochondrial",0.4,"Up in X3",4.578,9.37988789184105,2.46192481470368e-06,20.71,37,2.64401651206024e-05,2.766211984478e-05,0.000207185776103244
"MOGS","Mannosyl-oligosaccharide glucosidase",0.41,"Up in X3",4.569,9.35709864993547,2.51778811992031e-06,21.98,42,2.69886817129863e-05,2.72957978685771e-05,0.000204960959376105
"PRKAR1A","cAMP-dependent protein kinase type I-alpha regulatory subunit",0.68,"Up in X3",4.567,9.35099212785047,2.53299024493269e-06,17.95,13,2.71025375755275e-05,8.91169203789932e-06,8.90717597774498e-05
"TXNDC12","Thioredoxin domain-containing protein 12",0.46,"Up in X3",4.565,9.3451810156563,2.54754970698284e-06,21.93,6,2.72091184408257e-05,1.01577530529454e-06,1.87823202544619e-05
"DIMT1","Probable dimethyladenosine transferase",-1.16,"Up in X1",4.565,-9.34238449749236,2.55458867245273e-06,17.23,6,2.72351372520771e-05,5.20941671542154e-06,5.96211193523196e-05
"BPNT1","3'(2'),5'-bisphosphate nucleotidase 1",0.69,"Up in X3",4.56,9.33017902684982,2.58555903794413e-06,18.61,8,2.75157424955313e-05,5.82245580681901e-06,6.4758404152158e-05
"AAAS","Aladin",-0.48,"Up in X1",4.559,-9.32587730623833,2.5965714378017e-06,18.35,10,2.75833271049778e-05,8.44308920503102e-06,8.59106498189791e-05
"MTPN","Myotrophin",1.49,"Up in X3",4.558,9.32001666067169,2.61165686701897e-06,17.38,4,2.76846953338915e-05,4.35072768347462e-06,5.21118536500391e-05
