Genes,ProtDesc,X1_vs_X1H,Diff_Abund,negLog10_sca_adjPval,sca.t,sca.P.Value,AveExpr,count,sca.adj.pval,P.Value,adj.P.Val,logFC
NEMF,Nuclear export mediator factor NEMF,-0.63,Up in X1,3.491,-7.24459818754917,2.63178102924165e-5,17.75,9,3.2307569190918e-4,5.26331134802986e-5,6.6687394531675e-4,-0.63
PSMD9,26S proteasome non-ATPase regulatory subunit 9,-1.06,Up in X1,3.484,-7.23041548356403,2.67650454605304e-5,18.21,3,3.2788566043469e-4,1.93690393533266e-5,3.1835168292675e-4,-1.06
APOC1,Apolipoprotein C-I,0.58,Up in X1H,3.483,7.22648663464635,2.68903870384747e-5,18.41,4,3.2874053741044e-4,4.69444149453616e-6,1.1464922126909e-4,0.58
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,-0.61,Up in X1,3.482,-7.22322622565191,2.69948857736193e-5,17.43,12,3.2933760643815e-4,6.63448906779407e-5,7.7735191711163e-4,-0.61
FDPS,Farnesyl pyrophosphate synthase,-0.78,Up in X1,3.48,-7.21773231388469,2.71719655065765e-5,20.28,11,3.3081588457286e-4,5.97119733638047e-5,7.1958400487501e-4,-0.78
ADAM17,Disintegrin and metalloproteinase domain-containing protein 17,0.89,Up in X1H,3.479,7.20916229389589,2.74507089139605e-5,17.72,9,3.3198470057207e-4,5.47246512746388e-5,6.8305526300188e-4,0.89
KARS1,Lysine--tRNA ligase,-0.27,Non-significant,3.479,-7.21167717659943,2.73685919317124e-5,20.34,23,3.3198470057207e-4,2.9953342686725e-4,0.0024092295294119,-0.27
SOD1,Superoxide dismutase [Cu-Zn],-0.68,Up in X1,3.479,-7.20788873465037,2.74923953490477e-5,21.56,7,3.3198470057207e-4,4.28359098075829e-5,5.7343909124766e-4,-0.68
TXNDC17,Thioredoxin domain-containing protein 17,-0.72,Up in X1,3.479,-7.20836276964244,2.7476871128739e-5,19.9,7,3.3198470057207e-4,4.40326535059023e-5,5.8417311837314e-4,-0.72
F10,Coagulation factor X,2.21,Up in X1H,3.478,7.20381413385973,2.76262269266604e-5,17.75,12,3.3292135381883e-4,5.59288386145739e-5,6.8993028708004e-4,2.21
NCR3LG1,Natural cytotoxicity triggering receptor 3 ligand 1,-0.65,Up in X1,3.476,-7.19920350754013,2.77785151098047e-5,18.32,8,3.3407616647299e-4,4.95206288847851e-5,6.3816043549412e-4,-0.65
CHD4,Chromodomain-helicase-DNA-binding protein 4,0.23,Non-significant,3.468,7.18081308667364,2.83950465437735e-5,19.74,29,3.4010828016094e-4,5.6655114450748e-4,0.00393922811051798,0.23
CKAP5,Cytoskeleton-associated protein 5,-0.27,Non-significant,3.468,-7.18147796697342,2.83725005617577e-5,19.19,37,3.4010828016094e-4,3.5755770972546e-4,0.00278657990042267,-0.27
PCM1,Pericentriolar material 1 protein,-0.31,Non-significant,3.462,-7.1668573990973,2.88727828911141e-5,17.89,19,3.4502907084296e-4,1.9903051541095e-4,0.00178007836744276,-0.31
STAU1,Double-stranded RNA-binding protein Staufen homolog 1,-0.28,Non-significant,3.462,-7.16373635154889,2.89808092291623e-5,20.87,17,3.4502907084296e-4,2.1897422907182e-4,0.00190539781385,-0.28
WDR1,WD repeat-containing protein 1,0.29,Non-significant,3.462,7.16494319672166,2.8938985895156e-5,21.35,28,3.4502907084296e-4,2.7798325435861e-4,0.00226248544159547,0.29
PRKDC,DNA-dependent protein kinase catalytic subunit,0.19,Non-significant,3.452,7.14316576982905,2.9703832973263e-5,22.3,147,3.5292686687308e-4,0.00159415294892146,0.00887356820203978,0.19
MGAT1,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",0.37,Non-significant,3.451,7.1399237123496,2.98195555210457e-5,18.84,8,3.5359180364334e-4,4.21431658632179e-5,5.6708010896332e-4,0.37
NAA50,N-alpha-acetyltransferase 50,-0.64,Up in X1,3.451,-7.13562133529981,2.99738789249785e-5,18.14,5,3.540028774433e-4,2.19798976940601e-5,3.4497361977653e-4,-0.64
RNH1,Ribonuclease inhibitor,-0.56,Up in X1,3.451,-7.13609913411045,2.99566980322025e-5,19.63,24,3.540028774433e-4,9.57365896226602e-5,0.00100616945079446,-0.56
STRAP,Serine-threonine kinase receptor-associated protein,-0.42,Up in X1,3.45,-7.13132536712993,3.01288347987556e-5,19.98,19,3.5512413447059e-4,1.2510635050301e-4,0.00123170428606716,-0.42
ENSA,Alpha-endosulfine,-1.59,Up in X1,3.447,-7.12433547105721,3.03828158965812e-5,18.49,2,3.571833108248e-4,3.18337036428332e-5,4.628010428861e-4,-1.59
FBLN1,Fibulin-1,2.72,Up in X1H,3.447,7.1232006793323,3.04242671380265e-5,18.71,11,3.571833108248e-4,6.06723719310038e-5,7.2819153086358e-4,2.72
CAB39,Calcium-binding protein 39,-0.81,Up in X1,3.447,-7.12060433451464,3.05193356965296e-5,17.77,13,3.5758991943834e-4,6.93195285157074e-5,0.00079029605053456005,-0.81
ZPR1,Zinc finger protein ZPR1,-0.89,Up in X1,3.443,-7.11118143972366,3.08670758339319e-5,17,7,3.6094958045331e-4,5.32138925550689e-5,6.6850658651452e-4,-0.89
TPI1,Triosephosphate isomerase,-0.39,Up in X1,3.441,-7.10722201509996,3.10144700635565e-5,23.09,33,3.6195782912438e-4,1.703088288457e-4,0.00157536915632137,-0.39
TOP2A,DNA topoisomerase 2-alpha;DNA topoisomerase 2-alpha;DNA topoisomerase 2-beta,0.32,Non-significant,3.437,7.09746788582795,3.13808366652286e-5,20.9,10,3.6551261918928e-4,8.36180881974627e-5,9.1964354621633e-4,0.32
TXLNG,Gamma-taxilin,-0.65,Up in X1,3.437,-7.09559960885562,3.1451542104528e-5,15.59,5,3.6561645310902e-4,2.47836978858188e-5,3.7409474589385e-4,-0.65
SERPINA11,Serpin A11,2.15,Up in X1H,3.434,7.0865769746466,3.17954399289974e-5,15.23,2,3.6816755001933e-4,4.50294896943798e-5,5.934064376874e-4,2.15
SQSTM1,Sequestosome-1,-0.6,Up in X1,3.434,-7.08723404366457,3.17702589400193e-5,20.36,10,3.6816755001933e-4,6.85715371436343e-5,7.8871456984281e-4,-0.6
WIPF2,WAS/WASL-interacting protein family member 2,-1.18,Up in X1,3.433,-7.0830694100238,3.19302266991762e-5,16.95,7,3.6900615503715e-4,5.84011250557384e-5,7.0811364130082e-4,-1.18
LBP,Lipopolysaccharide-binding protein,1.88,Up in X1H,3.432,7.08011089298234,3.2044395426126e-5,15.13,1,3.6960367979802e-4,3.66795368068431e-5,5.1186985680681e-4,1.88
AP2M1,AP-2 complex subunit mu,0.37,Non-significant,3.429,7.07099921381551,3.2398796076058e-5,20.62,14,3.727269013256e-4,1.2757821900602e-4,0.00124980185738188,0.37
RPL3,60S ribosomal protein L3,-0.27,Non-significant,3.429,-7.06991720539531,3.24411617682417e-5,21.46,19,3.727269013256e-4,2.9953220159499e-4,0.0024092295294119,-0.27
PSMD2,26S proteasome non-ATPase regulatory subunit 2,0.2,Non-significant,3.424,7.06004938885973,3.28303091684397e-5,21.42,38,3.7646693672414e-4,0.00115407082130456,0.00693967179843403,0.2
RELA,Transcription factor p65,-0.45,Up in X1,3.419,-7.04820022691979,3.3304275478483e-5,17.45,10,3.8116324565993e-4,7.65963434456754e-5,8.5837228062132e-4,-0.45
CIB1,Calcium and integrin-binding protein 1,0.83,Up in X1H,3.418,7.04332404652357,3.35014670090534e-5,17.06,7,3.8205431737966e-4,5.64692540185849e-5,6.9366621601289e-4,0.83
PTGES3,Prostaglandin E synthase 3,-0.39,Up in X1,3.418,-7.04308242155271,3.35112710360053e-5,21.67,10,3.8205431737966e-4,8.09923866954995e-5,8.9743811250425e-4,-0.39
MCM2,DNA replication licensing factor MCM2,0.4,Up in X1H,3.416,7.03837123527133,3.37030504984603e-5,19.16,19,3.8350182653728e-4,1.4147979178008e-4,0.00135458888019866,0.4
TXNDC5,Thioredoxin domain-containing protein 5,0.23,Non-significant,3.414,7.03221416285526,3.39554789469617e-5,24.01,31,3.8563256992163e-4,6.6535068287043e-4,0.0044731166878634,0.23
ALDH6A1,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",-0.41,Up in X1,3.412,-7.02663958556194,3.41857900230626e-5,19.94,24,3.8719347569774e-4,1.5164634788129e-4,0.00143337290800897,-0.41
CALCOCO2,Calcium-binding and coiled-coil domain-containing protein 2,-0.43,Up in X1,3.412,-7.02531770484937,3.42406502887778e-5,17.91,10,3.8719347569774e-4,7.94709229926015e-5,8.8320731446779e-4,-0.43
CSDE1,Cold shock domain-containing protein E1,-0.47,Up in X1,3.412,-7.02089129768199,3.44250477266635e-5,19.61,29,3.8719347569774e-4,1.3436965618223e-4,0.0013055258713141,-0.47
DNAAF5,"Dynein assembly factor 5, axonemal",-0.49,Up in X1,3.412,-7.02266254744016,3.43511316010302e-5,16.86,9,3.8719347569774e-4,6.74337032872207e-5,7.8699254901476e-4,-0.49
SEPTIN7,Septin-7,0.29,Non-significant,3.412,7.01944469321477,3.44855436357464e-5,19.59,18,3.8719347569774e-4,2.5484477964061e-4,0.00212084882374833,0.29
XRCC6,X-ray repair cross-complementing protein 6,0.2,Non-significant,3.412,7.02151282347758,3.43990912328852e-5,22.34,40,3.8719347569774e-4,0.00119656775878948,0.00712436228489018,0.2
SCPEP1,Retinoid-inducible serine carboxypeptidase,0.45,Up in X1H,3.407,7.00891249300206,3.49294723510521e-5,18.08,6,3.9143501496434e-4,2.23322907967849e-5,3.4887269655358e-4,0.45
PYM1,Partner of Y14 and mago,-0.6,Up in X1,3.405,-7.0020878228595,3.5220426292597e-5,18.46,9,3.9394945628222e-4,6.9004867766703e-5,7.8975203592955e-4,-0.6
PSMB3,Proteasome subunit beta type-3,-0.35,Non-significant,3.4,-6.99236521310561,3.56394614755322e-5,19.88,7,3.9788432745419e-4,2.76208921333961e-5,4.0858204688326e-4,-0.35
EIF4B,Eukaryotic translation initiation factor 4B,-0.64,Up in X1,3.396,-6.981326140641,3.61217787255033e-5,20.88,12,4.0175294120075e-4,8.39347293299785e-5,9.2141334590998e-4,-0.64
NAPG,Gamma-soluble NSF attachment protein,-0.33,Non-significant,3.396,-6.98191067018528,3.60960634210484e-5,18.62,10,4.0175294120075e-4,9.25346742310684e-5,9.8476199177199e-4,-0.33
CHKA,Choline kinase alpha,-0.64,Up in X1,3.393,-6.97497570481305,3.64024343042312e-5,17.67,7,4.0411482885203e-4,5.49218327531176e-5,6.8305526300188e-4,-0.64
CASP8,Caspase-8,-0.61,Up in X1,3.391,-6.96754221692842,3.67339528343431e-5,17.92,10,4.0627065218842e-4,7.79519417522298e-5,8.7026724405272e-4,-0.61
CPNE1,Copine-1,-0.41,Up in X1,3.391,-6.968252678325,3.67021270838285e-5,20.16,14,4.0627065218842e-4,1.2223349414753e-4,0.00120945749978425,-0.41
EIF5,Eukaryotic translation initiation factor 5,-0.41,Up in X1,3.387,-6.95883734683488,3.71263263563866e-5,20.11,9,4.0984416613943e-4,7.25022224182682e-5,8.218307472201e-4,-0.41
GSS,Glutathione synthetase,-0.56,Up in X1,3.387,-6.95601846485051,3.72543570809005e-5,19.37,23,4.1049167755621e-4,1.1352942260713e-4,0.00115223600954785,-0.56
PTPN23,Tyrosine-protein phosphatase non-receptor type 23,-0.81,Up in X1,3.379,-6.93943167885789,3.80174430141472e-5,16.32,13,4.1812120876339e-4,8.42928479826873e-5,9.2192381056111e-4,-0.81
SPOCK2,Testican-2,2,Up in X1H,3.375,6.93142651318787,3.83917550553072e-5,14.52,1,4.2145457265724e-4,4.75856003685452e-5,6.20185016257e-4,2
PGK1,Phosphoglycerate kinase 1;Phosphoglycerate kinase 1,0.39,Up in X1H,3.374,6.92725944741224,3.85881767481711e-5,22.35,9,4.2282637373875e-4,7.51566709385344e-5,8.4866798080783e-4,0.39
UGDH,UDP-glucose 6-dehydrogenase,-0.34,Non-significant,3.36,-6.89964354670508,3.99176656104754e-5,24.28,36,4.3658563293379e-4,2.6780977960243e-4,0.00219477903865318,-0.34
GC,Vitamin D-binding protein,3.4,Up in X1H,3.36,6.89707882728029,4.00436255526575e-5,15.9,1,4.3670803810214e-4,6.70642171500265e-5,7.8422721912392e-4,3.4
GGA3,ADP-ribosylation factor-binding protein GGA3;ADP-ribosylation factor-binding protein GGA3;ADP-ribosylation factor-binding protein GGA2;ADP-ribosylation factor-binding protein GGA1,-1.3,Up in X1,3.36,-6.89641152995375,4.0076468597172e-5,15.87,1,4.3670803810214e-4,2.41515914664942e-5,3.6782214741466e-4,-1.3
TUBGCP3,Gamma-tubulin complex component 3,-0.69,Up in X1,3.358,-6.89109800445893,4.03390307428874e-5,16.55,12,4.3876111195894e-4,9.06495028431923e-5,9.7700019730996e-4,-0.69
METTL7B,Methyltransferase-like protein 7B,-0.83,Up in X1,3.352,-6.87909038939962,4.09392456607265e-5,18.6,5,4.4447250747618e-4,4.78725934538962e-5,6.2255414388286e-4,-0.83
CAT,Catalase,-0.19,Non-significant,3.352,-6.87554818356065,4.11181449129839e-5,21.15,34,4.4478256572235e-4,0.00139633765465112,0.0079904544512289,-0.19
CTSD,Cathepsin D,0.23,Non-significant,3.352,6.87669527676782,4.10601186220538e-5,22.88,21,4.4478256572235e-4,5.6308600475112e-4,0.00392898571947218,0.23
GSPT1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A;Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,-0.49,Up in X1,3.346,-6.86341936310267,4.17371374964716e-5,19.95,8,4.5065445723836e-4,6.77023505471433e-5,7.879332552579e-4,-0.49
SH3GL1,Endophilin-A2,-0.64,Up in X1,3.344,-6.85751337823535,4.20421867358129e-5,19.84,7,4.5312134593042e-4,6.37417632029566e-5,7.5734942343753e-4,-0.64
ARHGAP18,Rho GTPase-activating protein 18,-0.76,Up in X1,3.337,-6.84347287303154,4.27771039842239e-5,17.13,17,4.6020386231755e-4,1.0087772403588e-4,0.00104718156687777,-0.76
PECR,Peroxisomal trans-2-enoyl-CoA reductase,-0.22,Non-significant,3.336,-6.84069591072985,4.29240948490407e-5,20.71,22,4.60947131074e-4,7.0385757798524e-4,0.0046377787181945,-0.22
MYH9,Myosin-9;Myosin-9;Myosin-9;Myosin-9;Myosin-10;Myosin-10;Myosin-10,0.37,Non-significant,3.335,6.83622386687231,4.31619582945973e-5,20.38,10,4.6266178845857e-4,1.0327443861935e-4,0.00106273887532304,0.37
S100A13,Protein S100-A13,-0.71,Up in X1,3.335,-6.83470129994142,4.32432666732295e-5,19.66,7,4.6269513364466e-4,6.86064089902649e-5,7.8871456984281e-4,-0.71
MEP1A,Meprin A subunit alpha,-0.69,Up in X1,3.332,-6.82843642334829,4.35795699170439e-5,17.34,14,4.6545183248943e-4,1.0190310253631e-4,0.00105454891649597,-0.69
NRDC,Nardilysin,-0.53,Up in X1,3.325,-6.81303570600642,4.44183608161663e-5,17.44,15,4.7355574945811e-4,1.209040566212e-4,0.00119830704024732,-0.53
HSD17B2,17-beta-hydroxysteroid dehydrogenase type 2,-0.75,Up in X1,3.32,-6.80369149038077,4.49357761336069e-5,17.38,10,4.7821040896142e-4,9.1207496779681e-5,9.7727056577293e-4,-0.75
DHDDS,Dehydrodolichyl diphosphate synthase complex subunit DHDDS,-1.06,Up in X1,3.317,-6.79610490254737,4.53606552965717e-5,16.2,3,4.8186534540361e-4,3.64292675318548e-5,5.1186985680681e-4,-1.06
EFL1,Elongation factor-like GTPase 1,-1,Up in X1,3.316,-6.79296712179401,4.55376501348741e-5,15.36,9,4.8287863055206e-4,8.75924048094102e-5,9.544829820576e-4,-1
DCTPP1,dCTP pyrophosphatase 1,-0.52,Up in X1,3.316,-6.7909018135226,4.56545562774816e-5,19.66,7,4.832522531196e-4,6.01753274556168e-5,7.2369392795708e-4,-0.52
DNAJC2,DnaJ homolog subfamily C member 2,-0.56,Up in X1,3.311,-6.77750079138533,4.64210365353766e-5,17.92,10,4.8882693759994e-4,9.78235654995734e-5,0.00102265377572611,-0.56
MAPRE1,Microtubule-associated protein RP/EB family member 1,-0.41,Up in X1,3.311,-6.77950318185054,4.63056307468708e-5,20.5,14,4.8882693759994e-4,1.5003158334483e-4,0.001422655254249,-0.41
PAAF1,Proteasomal ATPase-associated factor 1,-0.52,Up in X1,3.311,-6.77736180385251,4.64290584639459e-5,17.07,4,4.8882693759994e-4,6.07685912612887e-6,1.3619990700494e-4,-0.52
EXOC3,Exocyst complex component 3,0.52,Up in X1H,3.297,6.74998774906995,4.80385718279034e-5,16.86,13,5.0466513771075e-4,1.2274154344645e-4,0.00121043618762108,0.52
SEPTIN6,Septin-6;Septin-6;Septin-6;Septin-8;Septin-8;Septin-11,0.82,Up in X1H,3.297,6.74889665539706,4.81039610729868e-5,16.99,1,5.0466513771075e-4,2.09948003460175e-6,6.33807314527477e-5,0.82
FKBP3,Peptidyl-prolyl cis-trans isomerase FKBP3,-0.51,Up in X1,3.294,-6.74144795424621,4.85529374586592e-5,21.05,15,5.084738600759e-4,1.3431773587851e-4,0.0013055258713141,-0.51
ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,0.42,Up in X1H,3.288,6.72739184550664,4.94125541164917e-5,18.41,12,5.1578414347506e-4,1.3644730312692e-4,0.00131491643746253,0.42
LUZP1,Leucine zipper protein 1,-0.63,Up in X1,3.288,-6.72671497987219,4.94543611570677e-5,17.24,14,5.1578414347506e-4,1.181687434728e-4,0.001182716657035,-0.63
PSMD13,26S proteasome non-ATPase regulatory subunit 13,0.22,Non-significant,3.288,6.72577491327517,4.9512488337644e-5,21.03,20,5.1578414347506e-4,6.3389237275428e-4,0.00431113806868166,0.22
ADPRS,ADP-ribose glycohydrolase ARH3,-0.71,Up in X1,3.285,-6.71996099829008,4.9873623156533e-5,17.52,6,5.1863309001266e-4,6.58733691119774e-5,7.7335858141978e-4,-0.71
MYO1D,Unconventional myosin-Id,0.56,Up in X1H,3.283,6.715128731122,5.01759465992136e-5,18.26,32,5.2086153689043e-4,1.5281908633607e-4,0.00144215396148414,0.56
PLS3,Plastin-3;Plastin-3;Plastin-1,-0.84,Up in X1,3.281,-6.71028263056222,5.04811234320021e-5,17.95,3,5.2311174666752e-4,2.26526389713884e-5,3.5087870364844e-4,-0.84
MAP4K4,Mitogen-activated protein kinase kinase kinase kinase 4;Mitogen-activated protein kinase kinase kinase kinase 4,0.43,Up in X1H,3.276,6.69883767265725,5.12098381442968e-5,18.26,6,5.2973533618846e-4,3.22018190404136e-5,4.647272274686e-4,0.43
CLUH,Clustered mitochondria protein homolog,-0.78,Up in X1,3.276,-6.69697084169951,5.13297750165339e-5,18.7,2,5.3004935213408e-4,4.34394699318998e-6,1.075444952247e-4,-0.78
LSM12,Protein LSM12 homolog,-0.74,Up in X1,3.272,-6.6873943765232,5.19498129799931e-5,19.74,3,5.3458616243933e-4,1.39277751082893e-5,2.5013093868953e-4,-0.74
SCARB1,Scavenger receptor class B member 1,0.69,Up in X1H,3.272,6.68827198677474,5.18926560930944e-5,20.58,5,5.3458616243933e-4,4.90591905926115e-5,6.3380618064734e-4,0.69
IARS1,"Isoleucine--tRNA ligase, cytoplasmic",-0.18,Non-significant,3.271,-6.68384999911556,5.2181343110836e-5,20.71,49,5.3603647081044e-4,0.00189353816425825,0.0101119723085885,-0.18
GSTO1,Glutathione S-transferase omega-1,-0.4,Up in X1,3.271,-6.68059383763353,5.23950279016847e-5,22.84,10,5.3636916971326e-4,1.1853151556899e-4,0.001182716657035,-0.4
RAB17,Ras-related protein Rab-17,-0.71,Up in X1,3.271,-6.6818962655109,5.23094432673254e-5,17.82,6,5.3636916971326e-4,6.92183269082411e-5,0.00079029605053456005,-0.71
DFFA,DNA fragmentation factor subunit alpha,-0.59,Up in X1,3.269,-6.67560323002258,5.27243705931513e-5,17.94,11,5.3880846424814e-4,1.1518925390838e-4,0.00116508515448874,-0.59
UBLCP1,Ubiquitin-like domain-containing CTD phosphatase 1,-0.37,Non-significant,3.265,-6.66836660057301,5.32059093400717e-5,18.22,8,5.4279200959518e-4,7.60224182733275e-5,8.5669931224439e-4,-0.37
PLS1,Plastin-3;Plastin-1,-0.7,Up in X1,3.265,-6.6661141581679,5.33567580622045e-5,17.49,8,5.4339404036844e-4,9.37524545686088e-5,9.9414565176067e-4,-0.7
PLPBP,Pyridoxal phosphate homeostasis protein,-0.48,Up in X1,3.265,-6.66412263693029,5.34905171137288e-5,18.57,6,5.438202573229e-4,4.38361959396368e-5,5.8287364353894e-4,-0.48
MKI67,Proliferation marker protein Ki-67,0.23,Non-significant,3.264,6.66173132695854,5.36516060406967e-5,19.29,40,5.439705199699e-4,8.3614532439517e-4,0.00536602156664453,0.23
SORD,Sorbitol dehydrogenase,-0.35,Non-significant,3.264,-6.66117490517014,5.36891640463794e-5,20.26,11,5.439705199699e-4,1.503275583601e-4,0.00142318106050677,-0.35
FAM83G,Protein FAM83G,2.41,Up in X1H,3.264,6.65867503944854,5.38582533694287e-5,15.74,2,5.4475091484941e-4,8.17240206704408e-5,9.0385239309719e-4,2.41
TBL1XR1,F-box-like/WD repeat-containing protein TBL1XR1,0.42,Up in X1H,3.259,6.64790958270722,5.45930168851442e-5,17.45,8,5.5124041110818e-4,8.33943662391997e-5,9.1889099634514e-4,0.42
HLA-C,"HLA class I histocompatibility antigen, C alpha chain",0.88,Up in X1H,3.246,6.62391328376413,5.62700364266826e-5,18.02,4,5.672058015957e-4,5.24976897249411e-5,6.6658547232291e-4,0.88
CYSTM1,Cysteine-rich and transmembrane domain-containing protein 1,0.93,Up in X1H,3.238,6.60767138322647,5.74366300653399e-5,19.42,1,5.7798051036839e-4,9.86869033057777e-6,1.9399681291039e-4,0.93
MCTS1,Malignant T-cell-amplified sequence 1,-0.72,Up in X1,3.235,-6.60150652664387,5.78862380359895e-5,18.63,5,5.8151590909838e-4,5.88268677192947e-5,7.1042006738315e-4,-0.72
PFDN1,Prefoldin subunit 1,-1.05,Up in X1,3.231,-6.59260348356833,5.85422589997353e-5,18.49,4,5.8710940084988e-4,6.87809224334783e-5,7.8871456984281e-4,-1.05
DDX20,Probable ATP-dependent RNA helicase DDX20,-0.71,Up in X1,3.223,-6.57319192029869,6.00005786065111e-5,17.49,6,5.9901132106264e-4,7.95588133532757e-5,8.8320731446779e-4,-0.71
GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,0.28,Non-significant,3.223,6.57466665555734,5.9888422951216e-5,24.15,21,5.9901132106264e-4,4.0537094033758e-4,0.00305551573755096,0.28
GGT7,Glutathione hydrolase 7,-1.14,Up in X1,3.223,-6.5727695989619,6.0032738446873e-5,16.05,6,5.9901132106264e-4,9.93228624938335e-5,0.00103467143904228,-1.14
PCYOX1,Prenylcysteine oxidase 1,0.25,Non-significant,3.215,6.55737736998251,6.12176423729649e-5,21.74,20,6.0980604363776e-4,5.1017616085512e-4,0.00363700282383104,0.25
LSM1,U6 snRNA-associated Sm-like protein LSm1,-1.07,Up in X1,3.203,-6.53518246394532,6.29708535743126e-5,16.94,4,6.2621603462051e-4,7.61574849147458e-5,8.5669931224439e-4,-1.07
B3GAT3,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,0.83,Up in X1H,3.202,6.53231073658633,6.32016239524045e-5,17.72,6,6.2745639081607e-4,9.24677782717789e-5,9.8476199177199e-4,0.83
SERPINB6,Serpin B6;Serpin B6,-0.45,Up in X1,3.2,-6.5273889701792696,6.35992582683898e-5,18.57,10,6.3034641737698e-4,1.3572542493092e-4,0.00131223421456911,-0.45
LARP1,La-related protein 1,-0.47,Up in X1,3.189,-6.50482053712947,6.54574537012969e-5,18.94,18,6.476785176431e-4,1.9627642168435e-4,0.00176536329868022,-0.47
AK6,Adenylate kinase isoenzyme 6,-0.74,Up in X1,3.186,-6.49870154081922,6.59712975396651e-5,17.07,3,6.5167306768313e-4,2.01422862196901e-5,3.2563362721832e-4,-0.74
RAD50,DNA repair protein RAD50,0.21,Non-significant,3.182,6.49034880785289,6.66797530319354e-5,19.19,27,6.575734978166e-4,0.00113689917673343,0.00686431880482824,0.21
EIF3G,Eukaryotic translation initiation factor 3 subunit G,-0.47,Up in X1,3.171,-6.46844838092135,6.85765328569461e-5,19.82,12,6.7427374739148e-4,1.670045818689e-4,0.00155372030018604,-0.47
UBE2O,(E3-independent) E2 ubiquitin-conjugating enzyme,-0.6,Up in X1,3.171,-6.46816886010849,6.86011147422133e-5,17.86,16,6.7427374739148e-4,1.6753688649699e-4,0.00155622567881118,-0.6
UBE2N,Ubiquitin-conjugating enzyme E2 N,-0.6,Up in X1,3.167,-6.45973093455751,6.93476608789952e-5,21.53,8,6.8048111015093e-4,1.1711203160917e-4,0.00117861168599391,-0.6
APOA2,Apolipoprotein A-II,0.34,Non-significant,3.166,6.45640810697273,6.96440479563084e-5,20.89,6,6.8225799959847e-4,2.17886604756657e-5,3.4288165966626e-4,0.34
MGAT4B,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B",0.94,Up in X1H,3.162,6.44634148884631,7.05503286630595e-5,16.96,3,6.8885527178106e-4,4.87468152370362e-5,6.3114859027908e-4,0.94
RPS28,40S ribosomal protein S28,-0.62,Up in X1,3.162,-6.44662659353642,7.05244869503048e-5,22.48,3,6.8885527178106e-4,6.53387308041433e-6,1.4382292546593e-4,-0.62
MCM3,DNA replication licensing factor MCM3,0.33,Non-significant,3.157,6.43661450286192,7.14381202502134e-5,19.54,22,6.9637455934186e-4,3.423257129932e-4,0.00269353888800637,0.33
AIMP1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,-0.29,Non-significant,3.155,-6.43086409930939,7.19686236754844e-5,20.33,15,7.002756691795e-4,3.3787294454539e-4,0.00266915115203619,-0.29
SYAP1,Synapse-associated protein 1,-0.8,Up in X1,3.155,-6.42971633501035,7.20750181731144e-5,17.76,10,7.002756691795e-4,1.3967062359637e-4,0.00133943448917306,-0.8
ECE1,Endothelin-converting enzyme 1,0.5,Up in X1H,3.152,6.4227043723186,7.27287000813806e-5,17.09,8,7.043137780385e-4,1.1712851293806e-4,0.00117861168599391,0.5
RPS25,40S ribosomal protein S25,-0.32,Non-significant,3.152,-6.42377562009524,7.26284220903671e-5,23.45,9,7.043137780385e-4,1.3532882458141e-4,0.00131223421456911,-0.32
EML2,Echinoderm microtubule-associated protein-like 2;Echinoderm microtubule-associated protein-like 2;Echinoderm microtubule-associated protein-like 5;Echinoderm microtubule-associated protein-like 6,1.92,Up in X1H,3.148,6.41299813027545,7.36441193269399e-5,16.45,1,7.1201348702206e-4,9.12267508648016e-5,9.7727056577293e-4,1.92
FADS2,Acyl-CoA 6-desaturase,-0.68,Up in X1,3.146,-6.40938971582563,7.39875976953275e-5,18.47,5,7.1416739896126e-4,7.1880435360293e-5,8.1791641543625e-4,-0.68
COLGALT1,Procollagen galactosyltransferase 1,0.21,Non-significant,3.143,6.4025269937138,7.46456215257873e-5,20.23,23,7.1934550906853e-4,0.00106292912672688,0.00651071598637987,0.21
AHCY,Adenosylhomocysteinase,0.27,Non-significant,3.137,6.39130651643438,7.57351084140508e-5,22.73,25,7.2865794550559e-4,5.4785892523163e-4,0.00385914435785187,0.27
UBAP2L,Ubiquitin-associated protein 2-like,-0.74,Up in X1,3.136,-6.38697438299009,7.61603251125046e-5,17.72,12,7.3155948651086e-4,1.5734919473313e-4,0.00147782155946625,-0.74
ACOX3,Peroxisomal acyl-coenzyme A oxidase 3,0.29,Non-significant,3.134,6.38239353230899,7.66127544999361e-5,17.36,11,7.3471259056097e-4,2.3485256319831e-4,0.0020110312828429,0.29
