Genes,ProtDesc,X3_vs_X3H,Diff_Abund,negLog10_sca_adjPval,sca.t,sca.P.Value,AveExpr,count,sca.adj.pval,P.Value,adj.P.Val,logFC
TRMT112,Multifunctional methyltransferase subunit TRM112-like protein,0.21,Non-significant,1.132,3.01576922900739,0.0127161333570013,18.42,5,0.0737575354468448,0.00839564942102558,0.0621740395797351,0.21
MBLAC2,Metallo-beta-lactamase domain-containing protein 2,-0.27,Non-significant,1.132,-3.01381104548716,0.0127591461572405,16.63,9,0.0738707121451976,0.0172900664481074,0.0958812775758684,-0.27
MPV17L2,Mpv17-like protein 2,-0.87,Non-significant,1.131,-3.01303667794499,0.0127761963766868,14.99,2,0.0738971201963399,0.0142833967008116,0.0845994577364387,-0.87
COX18,"Cytochrome c oxidase assembly protein COX18, mitochondrial",-0.69,Non-significant,1.127,-3.00628236027372,0.0129258986536504,15.14,1,0.0746899827477048,0.0108828778392143,0.0719278667356061,-0.69
GCLC,Gamma-ECS,-0.56,Non-significant,1.126,-3.00493223519748,0.0129560355660377,17.51,1,0.0747882843688937,0.00805600225063564,0.0611904561193981,-0.56
MORC2,ATPase MORC2,-0.35,Non-significant,1.126,-3.00438862507243,0.0129681899209878,17.06,7,0.0747882843688937,0.0164265970040711,0.0926342002358377,-0.35
FRMD8,FERM domain-containing protein 8,0.14,Non-significant,1.126,3.0016694920469,0.0130291597794942,17.22,6,0.0748771849156018,0.00701508035146489,0.0563205297688165,0.14
PKP2,Plakophilin-2,0.09,Non-significant,1.126,3.00209004923169,0.0130197108433332,19.64,22,0.0748771849156018,0.0466597426255964,0.1695858090391,0.09
PSMD12,26S proteasome non-ATPase regulatory subunit 12,0.1,Non-significant,1.126,3.00191628528268,0.0130236140697173,20.24,13,0.0748771849156018,0.0296955074059493,0.131223537954445,0.1
RNH1,Ribonuclease inhibitor,0.17,Non-significant,1.126,3.00144424108645,0.0130342235022934,20.28,24,0.0748771849156018,0.0250516524587786,0.119733947979478,0.17
ATP5F1C,"ATP synthase subunit gamma, mitochondrial",-0.14,Non-significant,1.125,-2.99993258319608,0.0130682578133334,21.85,10,0.0749998850450958,0.0200499511016028,0.104507416328257,-0.14
AFG1L,AFG1-like ATPase,-0.31,Non-significant,1.124,-2.99752277822068,0.0131227000193531,16.9,8,0.0751317272179067,0.0171678774108063,0.0953824700842637,-0.31
HADHB,"Trifunctional enzyme subunit beta, mitochondrial",-0.12,Non-significant,1.124,-2.99723030065841,0.0131293232961493,22.62,20,0.0751317272179067,0.0320686243259825,0.13641268881153,-0.12
NAT10,RNA cytidine acetyltransferase,-0.14,Non-significant,1.124,-2.99753483262634,0.0131224271150205,20.27,28,0.0751317272179067,0.0299847272907623,0.131820957541906,-0.14
BMS1,Ribosome biogenesis protein BMS1 homolog,-0.15,Non-significant,1.124,-2.99616564784995,0.0131534614527297,20.28,20,0.075197131802707,0.0263087363351585,0.122573852673333,-0.15
BAIAP2L1,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1,0.87,Non-significant,1.122,2.99207777048911,0.0132465620823345,14.5,1,0.0755833248227321,0.0135084635152665,0.0820406968998083,0.87
SKIV2L,Helicase SKI2W,0.17,Non-significant,1.122,2.9921799835536,0.0132442260727679,17.61,17,0.0755833248227321,0.0238221107473922,0.11567418741568,0.17
RPIA,Ribose-5-phosphate isomerase,-0.24,Non-significant,1.121,-2.99114228129728,0.0132679614675077,17.24,4,0.0756324932593862,0.00626396094026596,0.0525728466433386,-0.24
DLG1,Disks large homolog 1,-0.13,Non-significant,1.12,-2.98818818796207,0.0133357669700433,18.52,21,0.0757999357941845,0.0311040781657149,0.134534232826415,-0.13
POLR1D,DNA-directed RNA polymerases I and III subunit RPAC2,0.34,Non-significant,1.12,2.98830190612398,0.0133331502986339,18.26,3,0.0757999357941845,0.00743911238128756,0.0581115838226468,0.34
PTGFRN,Prostaglandin F2 receptor negative regulator,0.43,Non-significant,1.12,2.98905373505187,0.0133158636984637,16.25,3,0.0757999357941845,0.0110357586827246,0.0723931087867863,0.43
STXBP2,Syntaxin-binding protein 2,0.16,Non-significant,1.12,2.98700441172501,0.0133630367718202,18.6,14,0.0758092891455992,0.02383079845525,0.11567418741568,0.16
TATDN1,Putative deoxyribonuclease TATDN1,0.31,Non-significant,1.12,2.98705825413675,0.0133617952165502,16.24,6,0.0758092891455992,0.0153839141409717,0.0886335150653645,0.31
DHCR24,Delta(24)-sterol reductase,-0.15,Non-significant,1.12,-2.98555717922827,0.0133964524460545,23.24,16,0.0759260623786439,0.0256363758181642,0.120580632524704,-0.15
CNNM4,Metal transporter CNNM4;Metal transporter CNNM4;Metal transporter CNNM2,-0.49,Non-significant,1.119,-2.98407568462032,0.0134307469553596,16.27,1,0.0759748850237695,0.00609183741593406,0.051574707027962,-0.49
RALGAPA2,Ral GTPase-activating protein subunit alpha-2,0.36,Non-significant,1.119,2.98439686017323,0.0134233046469034,16.45,15,0.0759748850237695,0.019222041920623,0.102006118425405,0.36
MMS19,MMS19 nucleotide excision repair protein homolog,0.14,Non-significant,1.119,2.98286939517971,0.0134587365771351,18.38,20,0.0759879239760575,0.0281095420860827,0.127908430422728,0.14
PPP1CA,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit;Serine/threonine-protein phosphatase PP1-gamma catalytic subunit;Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,0.18,Non-significant,1.119,2.98302280017111,0.0134551738310325,20.04,6,0.0759879239760575,0.0110105293313195,0.0723881133926859,0.18
BRD8,Bromodomain-containing protein 8,-0.45,Non-significant,1.118,-2.98042318878031,0.0135156777353049,15.49,4,0.0762366684078161,0.0143487763579889,0.0847322452197808,-0.45
USE1,Vesicle transport protein USE1,-0.27,Non-significant,1.118,-2.97956599397145,0.0135356886634642,17.11,3,0.0762768284016359,0.00329998769345664,0.0359622861932571,-0.27
PEX16,Peroxisomal membrane protein PEX16,-0.66,Non-significant,1.116,-2.97628238588164,0.0136126216110655,17.21,4,0.0766061457020959,0.0165134595828841,0.0929687348733824,-0.66
SLC9A1,Sodium/hydrogen exchanger 1,-0.44,Non-significant,1.116,-2.97596755394569,0.0136200211726559,15.85,2,0.0766061457020959,0.00765401575541605,0.0591237744449044,-0.44
EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,-0.12,Non-significant,1.114,-2.9730397269509,0.0136890299987977,19.14,11,0.0769211685687426,0.0240934965455615,0.116566818528281,-0.12
RPL11,60S ribosomal protein L11,0.1,Non-significant,1.113,2.97186768058564,0.0137167543049752,22.89,10,0.0770038284843816,0.0231114421850159,0.11367468295915201,0.1
ACOT13,Acyl-coenzyme A thioesterase 13,0.26,Non-significant,1.113,2.97072685237885,0.0137437947910781,19.74,4,0.0770502636038218,0.00830738613856452,0.0620026687640745,0.26
GPR89A,Golgi pH regulator A,-0.41,Non-significant,1.113,-2.97042032226306,0.0137510695226696,17.21,5,0.0770502636038218,0.0157961140344719,0.0901238285027621,-0.41
TXN2,"Thioredoxin, mitochondrial",-0.5,Non-significant,1.112,-2.9685695580903,0.0137950757688146,18.58,4,0.0772237117540929,0.0154781485836803,0.0890031148392965,-0.5
NIBAN2,Protein Niban 2,0.26,Non-significant,1.111,2.96545148611491,0.013869538087151,17.36,10,0.0774939158278303,0.0192829573509826,0.10214615814303,0.26
RRS1,Ribosome biogenesis regulatory protein homolog,-0.12,Non-significant,1.111,-2.96594359030691,0.0138577592047279,19.88,8,0.0774939158278303,0.0147239199053254,0.0862588456235744,-0.12
GSDMD,Gasdermin-D,0.4,Non-significant,1.111,2.9642983923917,0.0138971779816211,17.04,3,0.0775019812603693,0.0105388906123998,0.0712669894326508,0.4
ZRANB2,Zinc finger Ran-binding domain-containing protein 2,0.35,Non-significant,1.111,2.96434681085785,0.0138960162597339,19.03,7,0.0775019812603693,0.0175578166794857,0.0964620253412415,0.35
ATP5F1A,"ATP synthase subunit alpha, mitochondrial",-0.11,Non-significant,1.11,-2.96248079398159,0.0139408595044606,24.34,36,0.0776723782371878,0.0401956510517589,0.155656431434714,-0.11
OGA,Protein O-GlcNAcase,0.24,Non-significant,1.108,2.95934436437958,0.0140165631268656,18.08,8,0.0780206999263067,0.017840167618411,0.0972009869227788,0.24
SEC23IP,SEC23-interacting protein,0.11,Non-significant,1.107,2.95740982507321,0.0140634642824798,18.89,19,0.0782081937588655,0.0354326695492792,0.144754210992923,0.11
ATAD1,ATPase family AAA domain-containing protein 1,-0.14,Non-significant,1.104,-2.95335511816265,0.0141622831353097,19.61,14,0.0786837833911994,0.0266964138995146,0.123698262367602,-0.14
MICAL3,[F-actin]-monooxygenase MICAL3,-1.1,Non-significant,1.104,-2.95278631786559,0.0141762016967654,14.16,1,0.0786872283675053,0.0161488089799817,0.0913503850234721,-1.1
SNX17,Sorting nexin-17,0.93,Non-significant,1.104,2.95171538899809,0.0142024449468578,15.23,5,0.0787590128871208,0.0184993779317444,0.0995098356564834,0.93
FTL,Ferritin light chain,-0.77,Non-significant,1.097,-2.94252775901488,0.0144296189749069,17.41,12,0.0799438721671576,0.0194927362613766,0.102888956698096,-0.77
ACAT2,"Acetyl-CoA acetyltransferase, cytosolic",-0.2,Non-significant,1.097,-2.93871190088522,0.014525047523524,21.59,13,0.0799989457350805,0.0225534493390636,0.112141814906924,-0.2
AIFM2,Ferroptosis suppressor protein 1,-0.17,Non-significant,1.097,-2.93903301180736,0.014516992506423,19.89,16,0.0799989457350805,0.025444994736268,0.120302897009945,-0.17
DDX28,Probable ATP-dependent RNA helicase DDX28,-0.23,Non-significant,1.097,-2.94033588330543,0.0144843565120328,17.96,16,0.0799989457350805,0.0224478134088091,0.112048564982842,-0.23
HEATR1,HEAT repeat-containing protein 1,-0.1,Non-significant,1.097,-2.94066099681236,0.0144762242296541,19.46,43,0.0799989457350805,0.0461392926769074,0.168314546713478,-0.1
IGFBP1,Insulin-like growth factor-binding protein 1,0.15,Non-significant,1.097,2.93834722315846,0.014534200889844801,20.26,7,0.0799989457350805,0.0134144283968094,0.0816596428229642,0.15
NOP14,Nucleolar protein 14,-0.17,Non-significant,1.097,-2.93882858124784,0.0145221200921487,18.24,17,0.0799989457350805,0.0258272788220056,0.121285721261752,-0.17
UBE4A,Ubiquitin conjugation factor E4 A,0.18,Non-significant,1.097,2.93988493684212,0.0144956439897862,17.85,12,0.0799989457350805,0.0225847784421531,0.112176637748723,0.18
CHCHD4,Mitochondrial intermembrane space import and assembly protein 40,-0.3,Non-significant,1.096,-2.93697100019027,0.014568796504644,18.61,4,0.080114841001839,0.0110576502633208,0.0724563860554473,-0.3
ELP1,Elongator complex protein 1,0.11,Non-significant,1.095,2.93460156894876,0.0146285547345067,18.96,30,0.0803687635692444,0.0418343266732972,0.159185666190289,0.11
AJUBA,LIM domain-containing protein ajuba,0.47,Non-significant,1.094,2.93192306354996,0.0146964065342262,16.65,5,0.0805918790204047,0.0175972638795323,0.0964995462235335,0.47
ALG6,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase",-0.33,Non-significant,1.094,-2.93201729871181,0.0146940139797538,17.29,4,0.0805918790204047,0.0128507413387653,0.0792886720557605,-0.33
EEF1D,Elongation factor 1-delta,-0.71,Non-significant,1.093,-2.92932300257117,0.0147625755770743,14.82,2,0.0806768238931796,0.0150690522350993,0.0875870157908471,-0.71
ETNK1,Ethanolamine kinase 1,-0.67,Non-significant,1.093,-2.92917168442148,0.014766435740462,14.42,2,0.0806768238931796,0.0144815795707827,0.0852612003187274,-0.67
GRN,Progranulin,0.25,Non-significant,1.093,2.93041227673505,0.014734818014444701,21.17,7,0.0806768238931796,0.017586798043296,0.0964995462235335,0.25
ROCK2,Rho-associated protein kinase 2;Rho-associated protein kinase 2;Rho-associated protein kinase 1,0.23,Non-significant,1.093,2.92956952660176,0.0147562888730921,19.04,3,0.0806768238931796,0.00161611758991575,0.0223424480830176,0.23
ABHD6,Monoacylglycerol lipase ABHD6,-0.4,Non-significant,1.091,-2.92558988416651,0.0148581069120898,16.65,6,0.0811027846852727,0.0181682117316731,0.0983543539033024,-0.4
FAM3C,Protein FAM3C,-0.25,Non-significant,1.089,-2.92039408327986,0.0149921097281491,19.26,6,0.0815532250323611,0.0158791906445742,0.0903380864824053,-0.25
H3-2,Histone HIST2H3PS2,-0.12,Non-significant,1.089,-2.9209698112133,0.0149772013829091,25.1,9,0.0815532250323611,0.0202400329877102,0.105330057333581,-0.12
NDUFB11,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",-0.2,Non-significant,1.089,-2.92076442670793,0.0149825180485974,21.07,4,0.0815532250323611,0.00446782951431041,0.0424013481494314,-0.2
NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,-0.36,Non-significant,1.089,-2.91972160680065,0.0150095423458241,20.31,2,0.0815532250323611,0.00468809393919615,0.0434107227515237,-0.36
RAD50,DNA repair protein RAD50,0.07,Non-significant,1.089,2.92010107355952,0.0149997029066499,19.24,27,0.0815532250323611,0.0762453111773877,0.228196007201114,0.07
COQ3,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",-1.2,Non-significant,1.088,-2.91905138557453,0.0150269368826573,16.34,2,0.0815728307657645,0.0183644378178674,0.0990224036213459,-1.2
AP3S1,AP-3 complex subunit sigma-1,0.19,Non-significant,1.088,2.91846761206194,0.015042104403775,18.58,6,0.0815803224171739,0.0133666625067661,0.081536641291273207,0.19
STRAP,Serine-threonine kinase receptor-associated protein,0.15,Non-significant,1.088,2.91722596568043,0.0150744161500327,19.86,19,0.0816806963001314,0.0297347063652075,0.131266822454276,0.15
GTF2H4,General transcription factor IIH subunit 4,-0.15,Non-significant,1.086,-2.91439369008647,0.0151483840280155,17.66,8,0.0820063936813977,0.0179359396225812,0.0975562285291317,-0.15
CCT4,T-complex protein 1 subunit delta,0.09,Non-significant,1.084,2.91061740032036,0.0152475765657301,21.64,25,0.0823926123647716,0.0538040521173858,0.184654488698445,0.09
DARS1,"Aspartate--tRNA ligase, cytoplasmic",-0.09,Non-significant,1.084,-2.91114265897632,0.0152337403057158,22.06,32,0.0823926123647716,0.0529710407591438,0.182864438840055,-0.09
THNSL1,Threonine synthase-like 1,-0.23,Non-significant,1.083,-2.908241245243,0.0153103275480552,17.64,10,0.0826562117717539,0.0212763142556221,0.108613433284385,-0.23
GALNT4,Polypeptide N-acetylgalactosaminyltransferase 4,-1.3,Non-significant,1.08,-2.90469691492717,0.0154044134773834,15.26,3,0.0830883450735441,0.0196531312335239,0.103274935620569,-1.3
FARSB,Phenylalanine--tRNA ligase beta subunit,0.14,Non-significant,1.08,2.90274063297897,0.0154565937653718,20.18,21,0.083212831094196,0.0322970917922131,0.136598922183363,0.14
MRPL3,"39S ribosomal protein L3, mitochondrial",-0.15,Non-significant,1.08,-2.90225095368695,0.0154696829818515,19.39,8,0.083212831094196,0.0181315446769603,0.0982457416241523,-0.15
SDC4,Syndecan-4,0.29,Non-significant,1.08,2.90263493465431,0.0154594181540838,18.76,5,0.083212831094196,0.0153558582520718,0.0886335150653645,0.29
DAG1,Dystroglycan,-0.22,Non-significant,1.08,-2.90146435513314,0.0154907323373591,19.16,13,0.0832503753316564,0.0232995062394931,0.11393651109015,-0.22
EPS8L3,Epidermal growth factor receptor kinase substrate 8-like protein 3,-0.35,Non-significant,1.078,-2.89791219970276,0.0155861486526084,16.68,9,0.0834706255462573,0.0207735481383063,0.107163979367357,-0.35
FLOT2,Flotillin-2,-0.12,Non-significant,1.078,-2.89904789506814,0.0155555777895496,20.22,24,0.0834706255462573,0.0363196526564501,0.146691730217212,-0.12
PTRH2,"Peptidyl-tRNA hydrolase 2, mitochondrial",-0.29,Non-significant,1.078,-2.89783819430649,0.0155881428474927,19.3,5,0.0834706255462573,0.0153695499341414,0.0886335150653645,-0.29
RDH14,Retinol dehydrogenase 14,-0.16,Non-significant,1.078,-2.89862536466031,0.0155669444657089,19.03,7,0.0834706255462573,0.0156435917100215,0.0895359322317976,-0.16
ADGRL2,Adhesion G protein-coupled receptor L2,-0.25,Non-significant,1.078,-2.89704660208034,0.0156094896969779,17.96,14,0.0835093585325665,0.0232013028895451,0.113865407292467,-0.25
MRPL28,"39S ribosomal protein L28, mitochondrial",-0.27,Non-significant,1.078,-2.89640717703528,0.0156267546015462,19.17,13,0.0835262032315707,0.0225983694771806,0.112176637748723,-0.27
BAZ1A,Bromodomain adjacent to zinc finger domain protein 1A,0.34,Non-significant,1.077,2.89438743008068,0.0156814158262322,24.06,5,0.0837427233247436,0.0168456519179095,0.0943005888346928,0.34
LTBP3,Latent-transforming growth factor beta-binding protein 3,-0.87,Non-significant,1.077,-2.89363486808462,0.0157018320290173,14.41,2,0.0837761407715916,0.0176153631353336,0.0965093552516381,-0.87
AK3,"GTP:AMP phosphotransferase AK3, mitochondrial",-0.09,Non-significant,1.076,-2.89184447404159,0.0157505114032265,23.37,23,0.0839601585341364,0.0520322712180689,0.180783880679574,-0.09
ETFB,Electron transfer flavoprotein subunit beta,-0.11,Non-significant,1.075,-2.890318265568,0.0157921280209431,23.21,22,0.0841062299729255,0.0409213502810962,0.156821003635522,-0.11
BPNT2,"Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase",-0.14,Non-significant,1.075,-2.88930320053817,0.0158198682162621,19.13,8,0.0841782016507399,0.0183920266317153,0.0990224036213459,-0.14
USP24,Ubiquitin carboxyl-terminal hydrolase 24,-0.17,Non-significant,1.074,-2.88814737202662,0.0158515151406284,16.29,22,0.0842708131959554,0.028508478924472,0.128766923508474,-0.17
HSPA8,Heat shock cognate 71 kDa protein (Fragment),-0.4,Non-significant,1.074,-2.88722535623058,0.0158768060008517,20.45,1,0.0843294983007535,0.00367102705302952,0.0383094657368177,-0.4
PEA15,Astrocytic phosphoprotein PEA-15,0.34,Non-significant,1.073,2.88507267604023,0.0159360125445198,17.03,3,0.084568059395447,0.00981918684530639,0.0677575095516533,0.34
ARID2,AT-rich interactive domain-containing protein 2,-0.61,Non-significant,1.072,-2.8825106038899,0.0160067692438837,15.34,5,0.0847914535506354,0.0199610223179265,0.104152882764701,-0.61
EXOC6,Exocyst complex component 6;Exocyst complex component 6;Exocyst complex component 6B,0.58,Non-significant,1.072,2.88289852511,0.0159960357057691,16.19,1,0.0847914535506354,0.0114162201304765,0.073829838117835,0.58
ABCC1,Multidrug resistance-associated protein 1,0.25,Non-significant,1.071,2.88116883347852,0.0160439512481819,18.07,29,0.084912396722265,0.0253271640194343,0.120302897009945,0.25
ANKRD46,Ankyrin repeat domain-containing protein 46,-0.39,Non-significant,1.07,-2.87934312742051,0.0160946836208991,17.58,2,0.0850401814946956,0.00744441110994867,0.0581115838226468,-0.39
FTSJ3,pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3,-0.1,Non-significant,1.07,-2.87926564841627,0.0160968401680005,19.69,21,0.0850401814946956,0.0428650524993637,0.161322047250498,-0.1
TMED9,Transmembrane emp24 domain-containing protein 9,-0.19,Non-significant,1.07,-2.8782235714907,0.0161258736246461,21.05,6,0.0851175684540867,0.0141156085611256,0.0842897723605262,-0.19
DOLK,Dolichol kinase,-1.02,Non-significant,1.069,-2.87678759232943,0.0161659681978938,14.06,1,0.0852531495783757,0.0179713180829396,0.0975562285291317,-1.02
INPP5A,Inositol polyphosphate-5-phosphatase A,-0.46,Non-significant,1.069,-2.87588321397517,0.0161912713021506,15.64,3,0.0853105541360867,0.0148682801379895,0.0867298082875163,-0.46
B3GALT6,"Beta-1,3-galactosyltransferase 6",-0.43,Non-significant,1.069,-2.87505482010566,0.016214483521346,16.08,2,0.0853568496403954,0.00929426510280041,0.0662193237740071,-0.43
FKBP10,Peptidyl-prolyl cis-trans isomerase FKBP9;Peptidyl-prolyl cis-trans isomerase FKBP10,0.31,Non-significant,1.068,2.87221605267309,0.0162942827277258,19.91,15,0.0855001975849674,0.0232968556125926,0.11393651109015,0.31
PHF10,PHD finger protein 10,0.59,Non-significant,1.068,2.87211379953294,0.0162971644925197,15.78,1,0.0855001975849674,0.0118791736658402,0.0759061237373394,0.59
SRRT,Serrate RNA effector molecule homolog,0.1,Non-significant,1.068,2.87203045463781,0.0162995137528888,20.65,18,0.0855001975849674,0.0443106743893847,0.16417423942516499,0.1
UBE2I,SUMO-conjugating enzyme UBC9,0.2,Non-significant,1.068,2.87251596534825,0.0162858333556571,20.64,6,0.0855001975849674,0.0148569533041026,0.0867298082875163,0.2
NOC3L,Nucleolar complex protein 3 homolog,-0.14,Non-significant,1.068,-2.87144663128739,0.0163159796814245,19.4,9,0.0855107633082274,0.0218121750282129,0.110362994322271,-0.14
GLS,Glutaminase,-0.17,Non-significant,1.068,-2.87052621022197,0.0163419729479047,19.51,5,0.0855711981705773,0.00774842696810624,0.0595421329484216,-0.17
LLPH,Protein LLP homolog,-0.39,Non-significant,1.067,-2.86865362339784,0.0163949849034637,16.88,1,0.0857728785798361,0.00356882873151566,0.037641282717251603,-0.39
DHFR,Dihydrofolate reductase,-0.63,Non-significant,1.066,-2.86734875050289,0.0164320276233562,15.83,2,0.0858149227249766,0.0156586969973446,0.0895359322317976,-0.63
GMPPB,Mannose-1-phosphate guanyltransferase beta,0.18,Non-significant,1.066,2.86765683728009,0.0164232740581837,18,5,0.0858149227249766,0.00884612457512855,0.0638690553096314,0.18
COG4,Conserved oligomeric Golgi complex subunit 4,0.12,Non-significant,1.065,2.86431321691343,0.0165185270322033,19.09,15,0.0861905859343446,0.0344607962831099,0.142292066718186,0.12
KHK,Ketohexokinase (Fragment),-0.36,Non-significant,1.064,-2.86180313704922,0.0165903998286127,17.27,1,0.0862328825908664,0.00189134078493547,0.0247589898771309,-0.36
MAOA,Amine oxidase [flavin-containing] A;Amine oxidase [flavin-containing] A;Amine oxidase [flavin-containing] B,-0.3,Non-significant,1.064,-2.86152034513767,0.0165985169248409,20.95,1,0.0862328825908664,6.24410314588489e-5,0.00239911417624681,-0.3
NOA1,Nitric oxide-associated protein 1,-0.28,Non-significant,1.064,-2.86230586468191,0.0165759796984483,17.39,16,0.0862328825908664,0.0242339323525588,0.117054838963339,-0.28
TM9SF1,Transmembrane 9 superfamily member 1,-0.22,Non-significant,1.064,-2.86218274869981,0.0165795099623404,18.61,5,0.0862328825908664,0.0123989048568885,0.0780271829740537,-0.22
TMEM51,Transmembrane protein 51,0.42,Non-significant,1.064,2.86148603590904,0.0165995019893522,17.8,1,0.0862328825908664,0.00496323578972664,0.0447674789143484,0.42
GAPVD1,GTPase-activating protein and VPS9 domain-containing protein 1,0.12,Non-significant,1.064,2.86032004729627,0.0166330141453151,18.21,15,0.0862974755208253,0.033125886573755,0.138814356130955,0.12
HIP1R,Huntingtin-interacting protein 1-related protein,0.17,Non-significant,1.064,2.85953243210341,0.0166556898841951,17.72,15,0.0862974755208253,0.0281454751411849,0.127908430422728,0.17
PHGDH,D-3-phosphoglycerate dehydrogenase,-0.13,Non-significant,1.064,-2.85994223729296,0.0166438875537221,21.67,24,0.0862974755208253,0.037561005659133,0.149864106867896,-0.13
ACO2,"Aconitate hydratase, mitochondrial",-0.1,Non-significant,1.064,-2.85864872200472,0.0166811693125998,21.16,49,0.0863538747354792,0.0542896089047765,0.185468600398131,-0.1
FBXL18,F-box/LRR-repeat protein 18,0.43,Non-significant,1.064,2.85801513208681,0.0166994613586473,16.21,3,0.0863730007509754,0.0145495867739716,0.0854459559782498,0.43
COPS8,COP9 signalosome complex subunit 8,0.17,Non-significant,1.063,2.85648934825578,0.0167435944423248,19.5,7,0.0865256317163634,0.0175394878966772,0.0964620253412415,0.17
AGK,"Acylglycerol kinase, mitochondrial",-0.14,Non-significant,1.063,-2.85552293540565,0.0167716085582782,20.17,16,0.086529579600037,0.0319298099229089,0.136193369944095,-0.14
IARS2,"Isoleucine--tRNA ligase, mitochondrial",-0.08,Non-significant,1.063,-2.8554540846666,0.016773606185777,20.87,37,0.086529579600037,0.074524511301181,0.224980374167902,-0.08
BSG,Basigin,-0.11,Non-significant,1.063,-2.85408195130569,0.0168134671275633,23.15,11,0.0865661556403247,0.0297496719471327,0.131266822454276,-0.11
CPSF2,Cleavage and polyadenylation specificity factor subunit 2,-0.1,Non-significant,1.063,-2.85374605275804,0.0168232396239022,18.53,26,0.0865661556403247,0.0486220604254083,0.173419653457093,-0.1
HLA-C,"HLA class I histocompatibility antigen, C alpha chain",0.24,Non-significant,1.063,2.85369976971061,0.0168245866125356,17.93,4,0.0865661556403247,0.00967838274209179,0.067527501436866,0.24
SPNS1,Protein spinster homolog 1,-0.24,Non-significant,1.062,-2.85249975291399,0.0168595489870798,19.56,7,0.0866706788501746,0.019768085689877,0.103511294714161,-0.24
PCNA,Proliferating cell nuclear antigen,0.17,Non-significant,1.06,2.84953373394451,0.016946277927599,21.26,11,0.0870409084180584,0.0252284730552769,0.120287570562509,0.17
DHX38,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,0.17,Non-significant,1.06,2.84849383896056,0.0169767916092271,18.23,18,0.0871220086312199,0.0293713847909045,0.13066953669758,0.17
MLYCD,"Malonyl-CoA decarboxylase, mitochondrial",-0.28,Non-significant,1.06,-2.84759111009923,0.0170033252769027,17.8,13,0.0871825612334775,0.0241259675734425,0.11662855402946,-0.28
CHPF,Chondroitin sulfate synthase 2,0.26,Non-significant,1.059,2.84636015918523,0.0170395735911391,18.3,10,0.0872927765703634,0.0232313302729548,0.113885485687716,0.26
VPS53,Vacuolar protein sorting-associated protein 53 homolog,0.62,Non-significant,1.059,2.84519389401779,0.0170739888549248,16.15,6,0.0873934187323444,0.0218413159289132,0.110362994322271,0.62
MRPS25,"28S ribosomal protein S25, mitochondrial",-0.23,Non-significant,1.057,-2.84305330918667,0.0171373374708789,18.44,10,0.0876418546371569,0.0235479536881789,0.114866646309113,-0.23
MRPL2,"39S ribosomal protein L2, mitochondrial",-0.19,Non-significant,1.056,-2.84061311863123,0.0172098412935234,19.05,6,0.0879366415663022,0.0155030725797247,0.0890598839361464,-0.19
TEX10,Testis-expressed protein 10,-0.11,Non-significant,1.053,-2.83658558191028,0.0173301848861781,18.83,20,0.0884751544189093,0.0429065007415521,0.161322047250498,-0.11
PKP4,Plakophilin-4,0.16,Non-significant,1.05,2.83182438437927,0.0174735432105502,17.87,17,0.0891301337731255,0.0304220487705377,0.133304144116052,0.16
MAIP1,"m-AAA protease-interacting protein 1, mitochondrial",-0.2,Non-significant,1.05,-2.83123150915804,0.0174914778573612,19.25,6,0.089144766995699,0.0166022779563826,0.0932912427995401,-0.2
DNAH8,"Dynein heavy chain 8, axonemal",1.19,Non-significant,1.05,2.83061769217929,0.0175100655106538,14.32,1,0.0891627001949556,0.020437182858003,0.10589037738249,1.19
TFB2M,"Dimethyladenosine transferase 2, mitochondrial",-0.21,Non-significant,1.05,-2.82991011161682,0.0175315171777359,18.19,9,0.0891951738096847,0.0232079907376567,0.113865407292467,-0.21
CTH,Cystathionine gamma-lyase,-0.21,Non-significant,1.049,-2.82861385235165,0.01757088437582,18.43,10,0.0893186622437518,0.0242654683459236,0.117111562971313,-0.21
EXOC4,Exocyst complex component 4,0.32,Non-significant,1.045,2.82232962147987,0.0177629995979002,17.91,18,0.0902177413053869,0.0253487135884042,0.120302897009945,0.32
DNAJA3,"DnaJ homolog subfamily A member 3, mitochondrial",-0.16,Non-significant,1.044,-2.82153633183981,0.0177874009463478,19.95,12,0.0902641950253344,0.027782196915202,0.12703806734718,-0.16
CARHSP1,Calcium-regulated heat-stable protein 1,0.24,Non-significant,1.044,2.82084323573838,0.0178087479596072,20.34,4,0.0902950828423273,0.010559042510856,0.0713217517542639,0.24
