"Genes","ProtDesc","X1_vs_X3","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val","Comparison","X1H_vs_X3H","X3_vs_X5","X3H_vs_X5H"
"GPHN","Gephyrin",NA,"Up in X3",2.247,-4.29098321595101,0.00144817912701051,17.92,11,0.00565602369275324,0.00254425034081634,0.00900917370832453,"X3 vs X5 Up",NA,-0.46,NA
"OBSL1","Obscurin-like protein 1",NA,"Up in X3",2.243,-4.2838496513543,0.0014649645101328,15.72,9,0.00571780673249064,0.00236229233625348,0.00850741555302,"X3 vs X5 Up",NA,-0.94,NA
"COMMD3","COMM domain-containing protein 3",NA,"Up in X3",2.241,-4.2797622012665,0.00147467438866438,16.17,6,0.00574055813008364,0.00203855107517372,0.0076245933702926,"X3 vs X5 Up",NA,-0.57,NA
"UBE2O","(E3-independent) E2 ubiquitin-conjugating enzyme",NA,"Up in X3",2.237,-4.27314748402277,0.00149053144781644,17.73,16,0.00579466135133367,0.00277950477883401,0.00965160198143242,"X3 vs X5 Up",NA,-0.48,NA
"STXBP4","Syntaxin-binding protein 4",NA,"Up in X3",2.237,-4.27219785332386,0.00149282260806769,14.44,3,0.00579548836858908,0.00138937201580025,0.00573285510285222,"X3 vs X5 Up",NA,-0.74,NA
"SLCO2B1","Solute carrier organic anion transporter family member 2B1",NA,"Up in X3",2.235,-4.26873635129871,0.00150120550619182,17.37,4,0.00582086040638072,0.00155692833328713,0.00622876602302903,"X3 vs X5 Up",NA,-0.61,NA
"H1-0","Histone H1.0",NA,"Up in X3",2.231,-4.25929695986668,0.00152431770127386,23.52,5,0.00587582269605044,0.00150551729286218,0.00608097046444808,"X3 vs X5 Up",NA,-0.44,NA
"ARL1","ADP-ribosylation factor-like protein 1",NA,"Up in X3",2.231,-4.25859156225337,0.00152605980305181,20.64,6,0.00587870823870935,0.00192689629441283,0.00730393681873204,"X3 vs X5 Up",NA,-0.46,NA
"CLASP1","CLIP-associating protein 2;CLIP-associating protein 1",NA,"Up in X3",2.227,-4.25285571324643,0.00154030337200288,16.72,10,0.00592586154235437,0.00255335082905016,0.00901691012636993,"X3 vs X5 Up",NA,-0.58,NA
"CORO1B","Coronin-1B",NA,"Up in X3",2.227,-4.25235883594948,0.00154154380047586,19.35,8,0.00592678016076392,0.00235265695588638,0.0084830415648871,"X3 vs X5 Up",NA,-0.39,NA
"RMND5A","E3 ubiquitin-protein transferase RMND5A",NA,"Up in X3",2.227,-4.25156234397286,0.00154353439134126,15.58,3,0.00593057986595211,0.00175903099141202,0.00680620921816451,"X3 vs X5 Up",NA,-0.91,NA
"SAC3D1","SAC3 domain-containing protein 1",NA,"Up in X3",2.227,-4.25086481654729,0.001545279868099,15.77,3,0.00593343347147422,0.00212750911186031,0.00787764168640641,"X3 vs X5 Up",NA,-1.35,NA
"TOE1","Target of EGR1 protein 1",NA,"Up in X3",2.225,-4.24825692323839,0.00155182419101451,16.35,2,0.00595469762531314,0.00118413080230494,0.00511423500528346,"X3 vs X5 Up",NA,-0.83,NA
"BST2","Bone marrow stromal antigen 2",NA,"Up in X3",2.225,-4.2470562743098,0.00155484691538516,18.18,2,0.00595471145523237,0.00030070375235379,0.00186433515731589,"X3 vs X5 Up",NA,-0.55,NA
"CAP2","Adenylyl cyclase-associated protein 2;Adenylyl cyclase-associated protein 2;Adenylyl cyclase-associated protein 1",NA,"Up in X3",2.225,-4.24754956069385,0.00155360428181646,20.7,2,0.00595471145523237,7.07553725562204e-05,0.0007156573323336,"X3 vs X5 Up",NA,-0.47,NA
"WRAP53","Telomerase Cajal body protein 1",NA,"Up in X3",2.225,-4.24731624872223,0.00155419188596718,14.07,2,0.00595471145523237,0.00174857576224126,0.00678892571206138,"X3 vs X5 Up",NA,-1.16,NA
"RANBP1","Ran-specific GTPase-activating protein",NA,"Up in X3",2.225,-4.24660600483085,0.00155598209686912,20.39,6,0.00595520444189819,0.00198900039176008,0.00750301259828608,"X3 vs X5 Up",NA,-0.47,NA
"PRKAA1","5'-AMP-activated protein kinase catalytic subunit alpha-2;5'-AMP-activated protein kinase catalytic subunit alpha-1",NA,"Up in X3",2.224,-4.24403447511565,0.00156248192585176,17.91,7,0.00597621561426301,0.00233954371450907,0.00844566017156382,"X3 vs X5 Up",NA,-0.59,NA
"DCUN1D1","DCN1-like protein 1",NA,"Up in X3",2.22,-4.23859725616861,0.00157631918364079,16.8,4,0.00602135610690935,0.0011645593711094,0.00503705979448416,"X3 vs X5 Up",NA,-0.47,NA
"EPHA2","Ephrin type-A receptor 2;Ephrin type-A receptor 2;Ephrin type-B receptor 4",NA,"Up in X3",2.22,-4.23726250580305,0.00157973564533531,15.78,1,0.00602274214784086,0.00081646230439777,0.00388657076035532,"X3 vs X5 Up",NA,-0.85,NA
"NAA35","N-alpha-acetyltransferase 35, NatC auxiliary subunit",NA,"Up in X3",2.22,-4.23777536490316,0.00157842199879244,17.04,5,0.00602274214784086,0.00227367494661728,0.00827897517485195,"X3 vs X5 Up",NA,-0.92,NA
"CIAO1","Probable cytosolic iron-sulfur protein assembly protein CIAO1",NA,"Up in X3",2.219,-4.2340460761658,0.00158800049036377,17.58,7,0.00603868824002726,0.00239743297331245,0.00859213258818279,"X3 vs X5 Up",NA,-0.64,NA
"SAP18","Histone deacetylase complex subunit SAP18",NA,"Up in X3",2.218,-4.23221245479055,0.00159273242203064,19.83,6,0.00604890740767349,0.00207545320766935,0.00773328503134731,"X3 vs X5 Up",NA,-0.49,NA
"SIK3","Serine/threonine-protein kinase SIK3",NA,"Up in X3",2.216,-4.22851878939977,0.00160230948517327,13.89,1,0.00608137602551008,0.00174210679057261,0.0067832204888048,"X3 vs X5 Up",NA,-1.36,NA
"EIF4H","Eukaryotic translation initiation factor 4H",NA,"Up in X3",2.214,-4.22442099859174,0.00161300517203933,20.45,6,0.00611412658741624,0.00217514891970133,0.00802391281662893,"X3 vs X5 Up",NA,-0.53,NA
"KDM4A","Lysine-specific demethylase 4A",NA,"Up in X3",2.214,-4.22446932695104,0.00161287859376397,16.01,4,0.00611412658741624,0.00221703216062014,0.00812522309276014,"X3 vs X5 Up",NA,-1.01,NA
"KPNA1","Importin subunit alpha-7;Importin subunit alpha-5",NA,"Up in X3",2.211,-4.21916677868537,0.00162682905996195,17.26,6,0.00615076520625868,0.00220303413723356,0.00809649254037948,"X3 vs X5 Up",NA,-0.54,NA
"BCCIP","BRCA2 and CDKN1A-interacting protein",NA,"Up in X3",2.21,-4.21740767769521,0.00163148501370372,19.12,12,0.00616442964628666,0.00292668874867337,0.010062299433992,"X3 vs X5 Up",NA,-0.43,NA
"GMPR2","GMP reductase 2",NA,"Up in X3",2.208,-4.21364081527983,0.00164150218478592,18.73,5,0.00619041964778732,0.00162236981816526,0.0064320864854615,"X3 vs X5 Up",NA,-0.44,NA
"RNF31","E3 ubiquitin-protein ligase RNF31",NA,"Up in X3",2.207,-4.21019568450729,0.00165072031426785,16.82,8,0.00621079902841479,0.00255405465130911,0.00901691012636993,"X3 vs X5 Up",NA,-0.5,NA
"MSH6","DNA mismatch repair protein Msh6",NA,"Up in X3",2.204,-4.20418292677827,0.00166693904894283,18.3,25,0.00625842535063118,0.00333334397371379,0.0110932608612208,"X3 vs X5 Up",NA,-0.43,NA
"TAGLN","Transgelin",NA,"Up in X3",2.2,-4.19924060955045,0.00168039561302053,14.98,3,0.00630494663426916,0.00221771764319886,0.00812522309276014,"X3 vs X5 Up",NA,-1.2,NA
"ZRANB2","Zinc finger Ran-binding domain-containing protein 2",NA,"Up in X3",2.199,-4.19715102455823,0.0016861192211431,18.57,7,0.00631840875966037,0.00250442471661156,0.00890010873765203,"X3 vs X5 Up",NA,-0.57,NA
"TRMT6","tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6",NA,"Up in X3",2.193,-4.18658371035553,0.00171537925679361,16.29,11,0.00641181242100303,0.00284202223433433,0.00982831417916786,"X3 vs X5 Up",NA,-0.63,NA
"NF2","Merlin",NA,"Up in X3",2.186,-4.17654216321998,0.00174367740997809,15.43,2,0.00650936229327468,0.0009615767528291,0.00435321319547804,"X3 vs X5 Up",NA,-0.7,NA
"PUM3","Pumilio homolog 3",NA,"Up in X3",2.183,-4.17187255692289,0.00175700327928144,18.23,17,0.00655497377270383,0.00330965834360265,0.0110390351855112,"X3 vs X5 Up",NA,-0.44,NA
"UHRF2","E3 ubiquitin-protein ligase UHRF2;E3 ubiquitin-protein ligase UHRF2;E3 ubiquitin-protein ligase UHRF1",NA,"Up in X3",2.178,-4.16221918640332,0.00178489135383467,15.22,1,0.00663809059751086,0.00205293616140098,0.00766386325994296,"X3 vs X5 Up",NA,-1.45,NA
"ATP6V1F","V-type proton ATPase subunit F",NA,"Up in X3",2.172,-4.15085265881471,0.00181832482479896,17.27,4,0.00672859786637613,0.00156867965255957,0.00626307523899796,"X3 vs X5 Up",NA,-0.51,NA
"GINS2","DNA replication complex GINS protein PSF2",NA,"Up in X3",2.172,-4.15123129529255,0.00181720059610076,15.01,1,0.00672859786637613,0.00170131348502239,0.00666231542404771,"X3 vs X5 Up",NA,-1.15,NA
"COBLL1","Cordon-bleu protein-like 1",NA,"Up in X3",2.171,-4.14913940921792,0.00182342084320834,16.27,3,0.0067406446263683,0.00145811489421862,0.00594601366581089,"X3 vs X5 Up",NA,-0.64,NA
"TARBP2","RISC-loading complex subunit TARBP2",NA,"Up in X3",2.171,-4.14773841099589,0.00182759920625202,16.4,4,0.006750252498997,0.00235436924125398,0.00848404555450658,"X3 vs X5 Up",NA,-0.85,NA
"GSKIP","GSK3B-interacting protein",NA,"Up in X3",2.17,-4.14515875014809,0.0018353191147273,16.75,3,0.00676609545286069,0.00066627954467252,0.00335236060019333,"X3 vs X5 Up",NA,-0.47,NA
"NXN","Nucleoredoxin",NA,"Up in X3",2.168,-4.14227353574023,0.00184399394105931,17.68,10,0.00679384318134991,0.00296571543710682,0.0101415569247306,"X3 vs X5 Up",NA,-0.75,NA
"CCZ1","Vacuolar fusion protein CCZ1 homolog B",NA,"Up in X3",2.168,-4.14168452633382,0.00184577016269327,16.81,4,0.00679615560215066,0.00199188889076624,0.00750301259828608,"X3 vs X5 Up",NA,-0.63,NA
"GABPA","GA-binding protein alpha chain",NA,"Up in X3",2.162,-4.13219183508832,0.00187464510347511,16.7,6,0.0068853352434899,0.00255313567959525,0.00901691012636993,"X3 vs X5 Up",NA,-0.56,NA
"PRKCD","Protein kinase C delta type",NA,"Up in X3",2.162,-4.13177137047115,0.0018759349751491,17.55,9,0.00688579854091641,0.00299278914885247,0.0102124183355018,"X3 vs X5 Up",NA,-0.53,NA
"UBE2D2","Ubiquitin-conjugating enzyme E2 D2",NA,"Up in X3",2.16,-4.12839587149515,0.00188632386186163,20.08,3,0.00691535210076533,0.00045549664581362,0.00252593594496648,"X3 vs X5 Up",NA,-0.43,NA
"ROBO1","Roundabout homolog 1",NA,"Up in X3",2.159,-4.1256033738707,0.00189496399685837,16.14,6,0.00694035583161157,0.0025949105995146,0.00911762827632298,"X3 vs X5 Up",NA,-0.57,NA
"MTHFD1","C-1-tetrahydrofolate synthase, cytoplasmic",NA,"Up in X3",2.156,-4.12023647637425,0.00191168611417538,17.88,1,0.00698340268972561,3.47743863674102e-05,0.00046870169507053,"X3 vs X5 Up",NA,-0.53,NA
"ZCCHC17","Nucleolar protein of 40 kDa",NA,"Up in X3",2.15,-4.11178295685546,0.00193833979272385,16.53,2,0.00707535876221285,0.00084473635354255,0.00398907023456606,"X3 vs X5 Up",NA,-0.63,NA
"EFHD2","EF-hand domain-containing protein D2",NA,"Up in X3",2.149,-4.10849036638073,0.00194882632803859,18.22,13,0.00709612638954114,0.00348823348911571,0.0114729725153405,"X3 vs X5 Up",NA,-0.43,NA
"GAB1","GRB2-associated-binding protein 1",NA,"Up in X3",2.145,-4.10094368497066,0.00197308652024597,14.49,2,0.00715803368503702,0.00239664571405846,0.00859213258818279,"X3 vs X5 Up",NA,-1.28,NA
"ARHGEF18","Rho guanine nucleotide exchange factor 18",NA,"Up in X3",2.142,-4.09433709450118,0.00199458430727894,15.11,2,0.00721832131264187,0.00222721992371281,0.00814994451985695,"X3 vs X5 Up",NA,-1.12,NA
"LAMTOR5","Ragulator complex protein LAMTOR5",NA,"Up in X3",2.139,-4.09031706515076,0.00200778537314993,17.95,2,0.00725721811418946,0.00098570719936314,0.00444884019727819,"X3 vs X5 Up",NA,-0.65,NA
"SNRPB2","U2 small nuclear ribonucleoprotein B'';U2 small nuclear ribonucleoprotein B'';U1 small nuclear ribonucleoprotein A",NA,"Up in X3",2.137,-4.08631682037384,0.00202101231949268,19.73,3,0.00730056770112221,0.00036795096060879,0.00215774611885255,"X3 vs X5 Up",NA,-0.4,NA
"POP1","Ribonucleases P/MRP protein subunit POP1",NA,"Up in X3",2.135,-4.0827603672837,0.00203284847868005,16.68,9,0.00732543510861744,0.00323850462936156,0.0108752734914486,"X3 vs X5 Up",NA,-0.45,NA
"PLS3","Plastin-3;Plastin-3;Plastin-1",NA,"Up in X3",2.132,-4.07798563845886,0.00204885340467868,18.24,3,0.00737861570023357,0.00032946524006834,0.00199919208488563,"X3 vs X5 Up",NA,-0.4,NA
"PSMA3","Proteasome subunit alpha type-3",NA,"Up in X3",2.13,-4.07473349454882,0.00205983010469699,15.03,1,0.00740462620260761,0.00240441323011661,0.00860672297797943,"X3 vs X5 Up",NA,-1.47,NA
"RNF14","E3 ubiquitin-protein ligase RNF14",NA,"Up in X3",2.129,-4.07241464469943,0.00206769431922147,14.38,3,0.00742838329498084,0.00219209782223068,0.00806632015804661,"X3 vs X5 Up",NA,-0.81,NA
"ZNF706","Zinc finger protein 706",NA,"Up in X3",2.125,-4.0664354900272,0.00208811754825105,15.03,1,0.00749265708490083,0.00237237308365109,0.00852296996719097,"X3 vs X5 Up",NA,-1.41,NA
"EZH2","Histone-lysine N-methyltransferase EZH2",NA,"Up in X3",2.125,-4.0659535077443,0.00208977304439094,14.64,3,0.00749405279009768,0.00292375267820431,0.0100580491842645,"X3 vs X5 Up",NA,-1.48,NA
"EIF4E","Eukaryotic translation initiation factor 4E",NA,"Up in X3",2.125,-4.06417328451172,0.00209589961136503,19.51,6,0.00750242197116632,0.00253195870441632,0.00897639284243941,"X3 vs X5 Up",NA,-0.41,NA
"GAS2","Growth arrest-specific protein 2",NA,"Up in X3",2.124,-4.06201958432495,0.00210333662215787,16.41,4,0.00751720257944522,0.00284513234442752,0.00983332247779068,"X3 vs X5 Up",NA,-0.98,NA
"ANKRD17","Ankyrin repeat domain-containing protein 17;Ankyrin repeat domain-containing protein 17;Ankyrin repeat and KH domain-containing protein 1",NA,"Up in X3",2.121,-4.05759988723706,0.00211868504529683,17.23,10,0.00756107322860152,0.0033378920840898,0.0110932608612208,"X3 vs X5 Up",NA,-1,NA
"RAB20","Ras-related protein Rab-20",NA,"Up in X3",2.119,-4.05354869224856,0.00213285673013448,17.01,4,0.00760706044135365,0.00184808204183556,0.00707407191062092,"X3 vs X5 Up",NA,-0.5,NA
"CLCC1","Chloride channel CLIC-like protein 1",NA,"Up in X3",2.118,-4.05162686033235,0.00213961424156499,19.39,10,0.00762656473936148,0.00353490713892373,0.0116135733153868,"X3 vs X5 Up",NA,-0.43,NA
"LTV1","Protein LTV1 homolog",NA,"Up in X3",2.118,-4.05107056752422,0.00214157444662796,16.16,3,0.00762895605099195,0.00224081602291904,0.00818451136272344,"X3 vs X5 Up",NA,-0.79,NA
"TCP1","T-complex protein 1 subunit alpha (Fragment)",NA,"Up in X3",2.112,-4.04155501001565,0.0021753968917631,14.78,1,0.00772618451894493,0.00238952515525684,0.00857417849827453,"X3 vs X5 Up",NA,-1.34,NA
"PFDN1","Prefoldin subunit 1",NA,"Up in X3",2.108,-4.03507836541228,0.00219873699007132,18.88,4,0.00779504300194847,0.00179138692981166,0.00690080498938517,"X3 vs X5 Up",NA,-0.48,NA
"USP8","Ubiquitin carboxyl-terminal hydrolase 8",NA,"Up in X3",2.105,-4.02782144642097,0.00222520046699918,17.18,8,0.00786060367954278,0.00332678344179576,0.0110836585726945,"X3 vs X5 Up",NA,-0.4,NA
"PFDN6","Prefoldin subunit 6",NA,"Up in X3",2.094,-4.0092000034471,0.00229464172410694,18.3,10,0.00805302199379642,0.00377619258340888,0.0122270042768265,"X3 vs X5 Up",NA,-0.41,NA
"CLASP2","CLIP-associating protein 2;CLIP-associating protein 2;CLIP-associating protein 1",NA,"Up in X3",2.088,-4.0001344214688,0.00232926462583011,16.56,2,0.00816413725688283,0.00126143400584213,0.00532899855348838,"X3 vs X5 Up",NA,-0.66,NA
"NME2P1","Putative nucleoside diphosphate kinase;Putative nucleoside diphosphate kinase;Nucleoside diphosphate kinase A",NA,"Up in X3",2.085,-3.99585385892898,0.00234580214978849,22.82,2,0.00821308362147839,0.00050700398628328,0.00273605404522327,"X3 vs X5 Up",NA,-0.52,NA
"HNRNPDL","Heterogeneous nuclear ribonucleoprotein D-like;Heterogeneous nuclear ribonucleoprotein D-like;Heterogeneous nuclear ribonucleoprotein D-like;Heterogeneous nuclear ribonucleoprotein D0",NA,"Up in X3",2.085,-3.99387802119034,0.00235347695144998,21.71,2,0.00822989141999702,2.43981277771378e-05,0.00038427112982033,"X3 vs X5 Up",NA,-0.4,NA
"MAN2A1","Alpha-mannosidase 2x;Alpha-mannosidase 2",NA,"Up in X3",2.082,-3.98838856539426,0.00237493784005685,16.97,25,0.00828567641486815,0.00396903626515559,0.012747134437141,"X3 vs X5 Up",NA,-0.7,NA
"AGFG2","Arf-GAP domain and FG repeat-containing protein 2",NA,"Up in X3",2.077,-3.98208944028506,0.00239981630062643,16.75,2,0.0083675386274641,0.00273067825932521,0.00950996071832093,"X3 vs X5 Up",NA,-1.13,NA
"FGFR4","Fibroblast growth factor receptor 4",NA,"Up in X3",2.077,-3.98100768166823,0.00240411604141848,16.99,4,0.00837759400298773,0.00325024491704096,0.010902323794859,"X3 vs X5 Up",NA,-0.98,NA
"PSMG2","Proteasome assembly chaperone 2",NA,"Up in X3",2.076,-3.97877060553276,0.00241303345597374,16.74,2,0.00840371922248182,0.0023116865452796,0.0083659017054553,"X3 vs X5 Up",NA,-0.92,NA
"SUSD2","Sushi domain-containing protein 2",NA,"Up in X3",2.073,-3.97322994008119,0.00243526871279727,16.24,3,0.00845627052442574,0.00301138462233934,0.0102640338769481,"X3 vs X5 Up",NA,-1.02,NA
"EDF1","Endothelial differentiation-related factor 1",NA,"Up in X3",2.072,-3.97219144600274,0.00243946005940918,19.83,4,0.00846347977027252,0.00200961376702953,0.00754019318929217,"X3 vs X5 Up",NA,-0.47,NA
"NEU1","Sialidase-1",NA,"Up in X3",2.072,-3.97200691991427,0.00244020559203734,21.28,14,0.00846347977027252,0.00416003818399068,0.0132054430980005,"X3 vs X5 Up",NA,-0.5,NA
"GTPBP8","GTP-binding protein 8",NA,"Up in X3",2.065,-3.95990494784747,0.00248962402764421,16.22,6,0.00860964662277662,0.00322710526694815,0.0108493078775751,"X3 vs X5 Up",NA,-0.48,NA
"ATAD2","ATPase family AAA domain-containing protein 2;ATPase family AAA domain-containing protein 2;ATPase family AAA domain-containing protein 2B",NA,"Up in X3",2.062,-3.95383406489176,0.00251480708496278,15.87,3,0.00867645103307567,0.00336025925808408,0.0111512361357731,"X3 vs X5 Up",NA,-1.26,NA
"PDCL3","Phosducin-like protein 3",NA,"Up in X3",2.061,-3.95291674473412,0.00251863535640716,15.75,4,0.0086845952236953,0.00328079210900178,0.0109674841293579,"X3 vs X5 Up",NA,-0.87,NA
"BLMH","Bleomycin hydrolase",NA,"Up in X3",2.058,-3.94867543210307,0.00253641498601823,19.58,4,0.0087408080793651,0.00181168702046583,0.00695636086962774,"X3 vs X5 Up",NA,-0.43,NA
"HPN","Serine protease hepsin",NA,"Up in X3",2.058,-3.94692867899523,0.00254377544645897,16.02,3,0.00875597400622321,0.0014620074806399,0.00595368084166985,"X3 vs X5 Up",NA,-0.52,NA
"NCOR1","Nuclear receptor corepressor 1",NA,"Up in X3",2.044,-3.92635825222608,0.00263215174928879,14.36,4,0.00903240170637056,0.00311505245543226,0.0105505239718333,"X3 vs X5 Up",NA,-0.7,NA
"IGFBP7","Insulin-like growth factor-binding protein 7",NA,"Up in X3",2.042,-3.92337251690243,0.00264524318977553,17.15,5,0.00906831051790371,0.00373623021076415,0.0121401835019723,"X3 vs X5 Up",NA,-0.93,NA
"SDHAF2","Succinate dehydrogenase assembly factor 2, mitochondrial",NA,"Up in X3",2.042,-3.92233040770648,0.00264982846656321,15.18,1,0.00907279104448515,0.00358111090526188,0.011736065909155,"X3 vs X5 Up",NA,-2.1,NA
"CCNE1","G1/S-specific cyclin-E1",NA,"Up in X3",2.042,-3.92083896063087,0.00265640526143805,14.22,1,0.00908223449081056,0.00307355478444516,0.010433863258498,"X3 vs X5 Up",NA,-1.42,NA
"CHMP4A","Charged multivesicular body protein 4a",NA,"Up in X3",2.042,-3.92061006473277,0.00265741612420229,17.38,4,0.00908223449081056,0.00272137566660491,0.0094831447699065,"X3 vs X5 Up",NA,-0.57,NA
"MFN1","Mitofusin-2;Mitofusin-1",NA,"Up in X3",2.042,-3.92036146173943,0.00265851447322695,16.81,6,0.00908223449081056,0.00319178584935133,0.0107427741015994,"X3 vs X5 Up",NA,-0.4,NA
"FAU","40S ribosomal protein S30",NA,"Up in X3",2.035,-3.91031442189771,0.00270330184982399,22.22,2,0.00921927207228157,0.00052315668275771,0.00277376173107295,"X3 vs X5 Up",NA,-0.5,NA
"AIF1L","Allograft inflammatory factor 1-like",NA,"Up in X3",2.035,-3.90876732144576,0.00271026809215126,16.21,1,0.00923238704735696,0.00229975157001832,0.00833800860281765,"X3 vs X5 Up",NA,-1.01,NA
"TIPRL","TIP41-like protein",NA,"Up in X3",2.033,-3.90526648904682,0.00272610076094027,17.93,5,0.00927564013943851,0.00376943356394773,0.012214533624249,"X3 vs X5 Up",NA,-0.83,NA
"DYNLRB1","Dynein light chain roadblock-type 1",NA,"Up in X3",2.032,-3.90376788697489,0.00273290771342366,19.86,4,0.00928726917293086,0.00177035217049815,0.00683312054327302,"X3 vs X5 Up",NA,-0.41,NA
"PEX19","Peroxisomal biogenesis factor 19",NA,"Up in X3",2.032,-3.90347782184173,0.00273422729410944,16.37,2,0.00928726917293086,0.00387001227085739,0.0124789441998165,"X3 vs X5 Up",NA,-2.16,NA
"POLD2","DNA polymerase delta subunit 2",NA,"Up in X3",2.029,-3.89821624330032,0.0027582792633571,14.83,4,0.00935822156036923,0.00396032814941726,0.0127354682935337,"X3 vs X5 Up",NA,-1.4,NA
"QTRT1","Queuine tRNA-ribosyltransferase catalytic subunit 1",NA,"Up in X3",2.029,-3.89765324301202,0.00276086591211043,18.16,5,0.00935896651632516,0.00256936825520294,0.009033245374947,"X3 vs X5 Up",NA,-0.39,NA
"CCNK","Cyclin-K",NA,"Up in X3",2.027,-3.89425040329615,0.00277655386274312,18.92,5,0.00939329285640425,0.00329433848993963,0.0110065504488836,"X3 vs X5 Up",NA,-0.53,NA
"DOHH","Deoxyhypusine hydroxylase",NA,"Up in X3",2.025,-3.89020795989393,0.00279531142639578,14.83,2,0.00944594957737512,0.00294094136270365,0.0100937065215299,"X3 vs X5 Up",NA,-1,NA
"FRG1","Protein FRG1",NA,"Up in X3",2.022,-3.88556339953072,0.00281702612179101,16.69,3,0.00951389472753277,0.00254249064031006,0.00900833360402074,"X3 vs X5 Up",NA,-0.66,NA
"POLR1D","DNA-directed RNA polymerases I and III subunit RPAC2",NA,"Up in X3",2.019,-3.8802257174923,0.00284219871259679,17.76,3,0.00958250130053288,0.00252657767494936,0.00896806244911539,"X3 vs X5 Up",NA,-0.65,NA
"GPC6","Glypican-6",NA,"Up in X3",2.018,-3.87966661376859,0.00284484898759426,17.29,6,0.00958597463530479,0.00333767628497333,0.0110932608612208,"X3 vs X5 Up",NA,-0.39,NA
"MCTS1","Malignant T-cell-amplified sequence 1",NA,"Up in X3",2.015,-3.87433669556338,0.00287024368104364,18.7,5,0.00964956355723592,0.00376258962994635,0.0122079166169878,"X3 vs X5 Up",NA,-0.68,NA
"MTHFD2","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",NA,"Up in X3",2.014,-3.87021769298313,0.00289003069074184,19.56,7,0.00968856181139914,0.00398183477364383,0.01275624461771,"X3 vs X5 Up",NA,-0.42,NA
"RPS23","40S ribosomal protein S23",NA,"Up in X3",2.01,-3.86480303468389,0.00291625831464371,20.25,6,0.00977095155591553,0.00366988162272764,0.0119640162874267,"X3 vs X5 Up",NA,-0.45,NA
"DCK","Deoxycytidine kinase",NA,"Up in X3",2.009,-3.86182645202272,0.00293078187742878,16.52,4,0.00980296007277901,0.00396590583379563,0.0127464773593529,"X3 vs X5 Up",NA,-1.01,NA
"TUBGCP4","Gamma-tubulin complex component 4",NA,"Up in X3",2.009,-3.86247296778653,0.00292762095535135,16.39,4,0.00980296007277901,0.00345950723548583,0.0114102030726698,"X3 vs X5 Up",NA,-0.69,NA
"FUBP1","Far upstream element-binding protein 2;Far upstream element-binding protein 1;Far upstream element-binding protein 1;Far upstream element-binding protein 3",NA,"Up in X3",2.007,-3.85828636131113,0.00294815312027817,19.98,1,0.00984579205053429,7.26057149081051e-05,0.00072731861224523,"X3 vs X5 Up",NA,-0.5,NA
"SFXN5","Sideroflexin-5",NA,"Up in X3",2.007,-3.85786187876696,0.00295024324921367,16.54,3,0.00984579205053429,0.00312785486964019,0.0105817708768788,"X3 vs X5 Up",NA,-0.78,NA
"SCYL2","SCY1-like protein 2",NA,"Up in X3",2.007,-3.85740504798448,0.00295249438399334,16.97,6,0.00984775043409731,0.0036736929774639,0.0119698465570781,"X3 vs X5 Up",NA,-0.43,NA
"RTF1","RNA polymerase-associated protein RTF1 homolog",NA,"Up in X3",2.006,-3.85479146480209,0.00296540784517845,17.87,9,0.00987412392792395,0.00459600149100645,0.0143355513032605,"X3 vs X5 Up",NA,-0.39,NA
"TDP1","Tyrosyl-DNA phosphodiesterase 1",NA,"Up in X3",2.006,-3.85483543349075,0.00296519011422293,14.44,1,0.00987412392792395,0.00376326515284533,0.0122079166169878,"X3 vs X5 Up",NA,-1.72,NA
"HECTD1","E3 ubiquitin-protein ligase HECTD1",NA,"Up in X3",2,-3.84545640197021,0.00301201390398713,21.25,14,0.0100011707462917,0.00498553674457996,0.0151824091187234,"X3 vs X5 Up",NA,-0.51,NA
"IPO11","Importin-11",NA,"Up in X3",1.994,-3.83623468629406,0.00305880358243538,15.45,7,0.0101394626315239,0.00457077289629805,0.0143096630832781,"X3 vs X5 Up",NA,-1.14,NA
"BAG4","BAG family molecular chaperone regulator 4",NA,"Up in X3",1.993,-3.83322413078053,0.00307424209110421,16.18,2,0.0101730642157482,0.00261490181404977,0.00917697155025651,"X3 vs X5 Up",NA,-0.81,NA
"STK35","Serine/threonine-protein kinase 35",NA,"Up in X3",1.993,-3.83325357923507,0.00307409068340451,16.39,3,0.0101730642157482,0.00301456680511795,0.0102684976595716,"X3 vs X5 Up",NA,-0.71,NA
"KIF2A","Kinesin-like protein KIF2A;Kinesin-like protein KIF2A;Kinesin-like protein KIF2C",NA,"Up in X3",1.985,-3.82145445687495,0.00313538133522077,16.94,1,0.0103411657527878,0.00027491478967533,0.00174208454977724,"X3 vs X5 Up",NA,-0.54,NA
"MCRIP1","Mapk-regulated corepressor-interacting protein 1",NA,"Up in X3",1.985,-3.82198728132164,0.00313258632878832,18.2,4,0.0103411657527878,0.00228623316352713,0.00829916664330678,"X3 vs X5 Up",NA,-0.42,NA
