"Genes","ProtDesc","X1H_vs_H5H","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val","SharedSignificant","unchanged","backgrdnd"
"IL13RA1","Interleukin-13 receptor subunit alpha-1",-1.51,"Up in X1H",4.411,-7.84317405642822,1.04528159985877e-05,16.91,2,3.88500705173639e-05,9.78959604487034e-06,4.01916506529637e-05,FALSE,FALSE,FALSE
"GTPBP8","GTP-binding protein 8",-0.85,"Up in X1H",4.409,-7.83897122676698,1.05038599073918e-05,16.24,6,3.90152787646184e-05,1.8398968191946e-05,6.81083129999085e-05,FALSE,TRUE,FALSE
"TARDBP","TAR DNA-binding protein 43",-0.42,"Up in X1H",4.407,-7.83544865564006,1.0546849524662e-05,20.34,9,3.91503818302541e-05,2.37588490354757e-05,8.45855052604753e-05,FALSE,TRUE,FALSE
"IARS2","Isoleucine--tRNA ligase, mitochondrial",0.23,"Non-significant",4.404,7.82864196234537,1.06304584092513e-05,20.79,37,3.94360015094296e-05,0.000471690648212289,0.0011146140437189,FALSE,TRUE,FALSE
"CES3","Carboxylesterase 3",1.36,"Up in X5H",4.403,7.82464798904096,1.06798509758177e-05,17.23,9,3.9569616921674e-05,2.87775376618008e-05,9.96352781421154e-05,TRUE,FALSE,FALSE
"RPL8","60S ribosomal protein L8",-0.44,"Up in X1H",4.403,-7.82478101122372,1.06782019337373e-05,22.35,9,3.9569616921674e-05,2.43429964211827e-05,8.63016835375302e-05,FALSE,TRUE,FALSE
"ZYX","Zyxin",-0.51,"Up in X1H",4.397,-7.81258218232703,1.08305785237856e-05,18.2,8,4.01029619056566e-05,2.02615617070198e-05,7.37770219202685e-05,TRUE,FALSE,FALSE
"LNPK","Endoplasmic reticulum junction formation protein lunapark",0.5,"Up in X5H",4.397,7.81203698519956,1.08374432589187e-05,19.36,8,4.01032844046416e-05,2.01161594018319e-05,7.33418745576687e-05,FALSE,TRUE,FALSE
"AP1G1","AP-1 complex subunit gamma-1",-0.36,"Non-significant",4.397,-7.81134522074261,1.08461602347064e-05,20.08,16,4.01104563179736e-05,7.5549326769525e-05,0.000230069668808687,FALSE,TRUE,FALSE
"RUVBL1","RuvB-like 1",-0.24,"Non-significant",4.396,-7.80938851494744,1.08708578843628e-05,20.54,24,4.01766808880542e-05,0.000310452011793033,0.000770853778337967,FALSE,TRUE,FALSE
"CNOT1","CCR4-NOT transcription complex subunit 1",-0.49,"Up in X1H",4.392,-7.80034088275359,1.09858504836518e-05,18.54,37,4.05763279099672e-05,6.93714647744499e-05,0.000214233276132787,FALSE,TRUE,FALSE
"REXO4","RNA exonuclease 4",-0.74,"Up in X1H",4.385,-7.78592572330899,1.11717871118191e-05,17.15,7,4.12251944544114e-05,2.18927101121008e-05,7.88430710488742e-05,FALSE,TRUE,FALSE
"H2AC21","Histone H2AX;Histone H2A type 2-B",-0.96,"Up in X1H",4.379,-7.77326493707933,1.13379011971553e-05,24.49,1,4.1798356002223e-05,8.19885579581382e-08,9.24050090358673e-07,FALSE,FALSE,FALSE
"NKD1","Protein naked cuticle homolog 1",-3.6,"Up in X1H",4.374,-7.76373677699995,1.14646737498764e-05,15.86,4,4.22393988655158e-05,2.93559311113121e-05,0.000101263161791028,TRUE,FALSE,FALSE
"IWS1","Protein IWS1 homolog",-0.81,"Up in X1H",4.374,-7.76279695209651,1.14772608968331e-05,18.65,5,4.22594603152218e-05,1.33196135516286e-05,5.20212233564269e-05,FALSE,TRUE,FALSE
"ACAD8","Isobutyryl-CoA dehydrogenase, mitochondrial",0.68,"Up in X5H",4.373,7.76077617987315,1.15043758526548e-05,18.05,9,4.23329551742277e-05,2.91380298091517e-05,0.00010064782392338,FALSE,TRUE,FALSE
"RNH1","Ribonuclease inhibitor",0.58,"Up in X5H",4.373,7.75931528078031,1.1524021469707e-05,19.64,24,4.23654431039007e-05,5.32125518255829e-05,0.00017030393094705,FALSE,FALSE,FALSE
"TRAPPC3","Trafficking protein particle complex subunit 3",0.8,"Up in X5H",4.373,7.75905505737188,1.15275246573061e-05,18.89,6,4.23654431039007e-05,1.89590071938496e-05,6.98508378368669e-05,FALSE,FALSE,FALSE
"RPL13","60S ribosomal protein L13",-0.52,"Up in X1H",4.371,-7.75461466625718,1.15874799010364e-05,22.33,5,4.25329519692509e-05,2.54704961175804e-06,1.33607203482024e-05,FALSE,TRUE,FALSE
"ZC3HAV1","Zinc finger CCCH-type antiviral protein 1",-0.38,"Up in X1H",4.371,-7.75508386408571,1.15811287864902e-05,17.59,16,4.25329519692509e-05,7.2047383619727e-05,0.000221112224521745,FALSE,TRUE,FALSE
"HABP2","Hyaluronan-binding protein 2",-3.39,"Up in X1H",4.366,-7.74443730778309,1.17261719885424e-05,16.55,4,4.30153500658432e-05,2.97374630259514e-05,0.000102359842189968,FALSE,FALSE,FALSE
"TRABD","TraB domain-containing protein",-0.8,"Up in X1H",4.366,-7.74316030839303,1.17437005670168e-05,17.66,5,4.30529592658229e-05,1.34928197462693e-05,5.25243516043916e-05,FALSE,TRUE,FALSE
"APPL2","DCC-interacting protein 13-beta",1.47,"Up in X5H",4.349,7.70865777883522,1.22281747683151e-05,16.72,7,4.47458936945706e-05,3.05942184942801e-05,0.000104760411360333,FALSE,TRUE,FALSE
"GORASP2","Golgi reassembly-stacking protein 2",0.57,"Up in X5H",4.349,7.70805429881232,1.22368384590768e-05,20.44,7,4.47499216083792e-05,1.89097540320175e-05,6.97127816868833e-05,FALSE,TRUE,FALSE
"UTP11","Probable U3 small nucleolar RNA-associated protein 11",-1.08,"Up in X1H",4.348,-7.70590234786596,1.22677863592075e-05,18.63,10,4.48353872065664e-05,3.35210173966859e-05,0.000113209965717004,FALSE,TRUE,FALSE
"MSH6","DNA mismatch repair protein Msh6",-0.49,"Up in X1H",4.348,-7.70527237926778,1.2276862132116e-05,18.74,25,4.48408600220557e-05,6.80258752159772e-05,0.000210769173545587,FALSE,FALSE,FALSE
"KHSRP","Far upstream element-binding protein 2;Far upstream element-binding protein 2;Far upstream element-binding protein 1;Far upstream element-binding protein 1",-0.64,"Up in X1H",4.347,-7.70227964238856,1.23200768037032e-05,20.24,3,4.49709404364663e-05,4.25768757942008e-08,5.89993850291069e-07,FALSE,TRUE,FALSE
"HNRNPUL2","Heterogeneous nuclear ribonucleoprotein U-like protein 2",-0.3,"Non-significant",4.345,-7.69779140148277,1.23851946422372e-05,20.33,26,4.51807624526002e-05,0.000177286833380416,0.000481195501427488,FALSE,TRUE,FALSE
"AOX1","Aldehyde oxidase",1.94,"Up in X5H",4.344,7.69546541058016,1.24190875707429e-05,16.82,12,4.52764886975266e-05,3.42432076852489e-05,0.000115123329473647,FALSE,FALSE,FALSE
"RAB21","Ras-related protein Rab-21",-0.44,"Up in X1H",4.342,-7.69138299096747,1.24788166068373e-05,19.18,8,4.54662302109952e-05,2.04970869206981e-05,7.44513586923086e-05,FALSE,TRUE,FALSE
"PDK1","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",0.76,"Up in X5H",4.339,7.68354384664502,1.25943813560101e-05,17,7,4.58590489129304e-05,2.49963606205522e-05,8.83533248457632e-05,FALSE,FALSE,FALSE
"EXOC3","Exocyst complex component 3",0.5,"Up in X5H",4.338,7.68248081783357,1.26101413434424e-05,17.37,13,4.58881957743844e-05,4.79968573232489e-05,0.000155359630624543,FALSE,TRUE,FALSE
"HINT2","Histidine triad nucleotide-binding protein 2, mitochondrial",0.47,"Up in X5H",4.338,7.68170586268675,1.26216439054239e-05,19.75,7,4.5901823594587e-05,1.42335503744849e-05,5.48306754985855e-05,FALSE,FALSE,FALSE
"SURF6","Surfeit locus protein 6",-1.01,"Up in X1H",4.338,-7.68055263846319,1.26387820550422e-05,17.81,6,4.59359173339585e-05,2.53279870688737e-05,8.91527064167317e-05,FALSE,TRUE,FALSE
"C11orf98","Uncharacterized protein C11orf98",-1.2,"Up in X1H",4.336,-7.6747719375065,1.27250691168805e-05,18.37,1,4.61644598188729e-05,2.44715081848191e-06,1.29847232610895e-05,FALSE,TRUE,FALSE
"GAPDH","Glyceraldehyde-3-phosphate dehydrogenase",0.36,"Non-significant",4.336,7.67527735097379,1.27174996113522e-05,24.48,21,4.61644598188729e-05,0.000104523518250711,0.000305264391653235,FALSE,TRUE,FALSE
"SLC38A2","Sodium-coupled neutral amino acid transporter 2",-0.96,"Up in X1H",4.336,-7.67543724054739,1.27151059807906e-05,18.04,9,4.61644598188729e-05,3.31178741797597e-05,0.000112104383021532,FALSE,FALSE,FALSE
"NAGA","Alpha-N-acetylgalactosaminidase",0.83,"Up in X5H",4.335,7.673666896559,1.27416361154535e-05,18.91,5,4.61962382935895e-05,1.57879167373471e-05,5.98827585480018e-05,TRUE,FALSE,FALSE
"RFC1","Replication factor C subunit 1",-0.87,"Up in X1H",4.335,-7.67303612736225,1.27511031791955e-05,17.28,8,4.62022519971217e-05,3.05079854283501e-05,0.000104525622339055,FALSE,TRUE,FALSE
"GK","Glycerol kinase;Glycerol kinase",-0.78,"Up in X1H",4.335,-7.67173846730079,1.27706033506969e-05,19.1,3,4.62445899792373e-05,1.4767792835128e-06,8.63448915073642e-06,FALSE,TRUE,FALSE
"PPP1R10","Serine/threonine-protein phosphatase 1 regulatory subunit 10",-0.83,"Up in X1H",4.335,-7.67044653870083,1.27900493970336e-05,17.2,7,4.62866802949529e-05,2.67717958859647e-05,9.35116388767728e-05,FALSE,FALSE,FALSE
"RPL34","60S ribosomal protein L34",-0.61,"Up in X1H",4.334,-7.66809019743481,1.28255993478707e-05,20.8,7,4.63869629225862e-05,2.12701682269799e-05,7.68729533469702e-05,FALSE,TRUE,FALSE
"TBC1D20","TBC1 domain family member 20",1.07,"Up in X5H",4.329,7.6591857893817,1.29609063253301e-05,17.61,7,4.68476986725586e-05,3.00380744476894e-05,0.000103274425628692,FALSE,TRUE,FALSE
"HP1BP3","Heterochromatin protein 1-binding protein 3",0.28,"Non-significant",4.319,7.63857620357152,1.32800302068307e-05,20.68,17,4.79718795688749e-05,0.000151529228971469,0.000419475149859841,FALSE,FALSE,FALSE
"PGGT1B","Geranylgeranyl transferase type-1 subunit beta",1.49,"Up in X5H",4.313,7.62525592581456,1.3490793321341e-05,17.38,2,4.86737951721798e-05,1.30143385370936e-05,5.10289315307783e-05,FALSE,TRUE,FALSE
"PTPN1","Tyrosine-protein phosphatase non-receptor type 1",-0.45,"Up in X1H",4.309,-7.61677736446272,1.3626826991319e-05,19.72,14,4.91346345567549e-05,5.92678967595278e-05,0.000186536247407514,FALSE,TRUE,FALSE
"RACK1","Receptor of activated protein C kinase 1",-0.37,"Non-significant",4.309,-7.616146659222,1.36370053277199e-05,22.67,24,4.91413888697433e-05,0.000114514748509769,0.000330206514099564,FALSE,FALSE,FALSE
"TTYH3","Protein tweety homolog 3",-1.18,"Up in X1H",4.305,-7.60845406060136,1.37618116074771e-05,18.15,1,4.95609490453086e-05,2.50292100246121e-06,1.32271983664529e-05,FALSE,TRUE,FALSE
"PSMD6","26S proteasome non-ATPase regulatory subunit 6",-0.35,"Non-significant",4.301,-7.60088590841724,1.38858033914878e-05,20.41,26,4.99770673159569e-05,0.000133292169506109,0.000376400224631519,FALSE,TRUE,FALSE
"FKBP7","Peptidyl-prolyl cis-trans isomerase FKBP7",2.8,"Up in X5H",4.298,7.5947303520065,1.39875418128392e-05,15.78,3,5.02947809966247e-05,3.17545272966865e-05,0.000108170142783243,TRUE,FALSE,FALSE
"GLS","Glutaminase",-0.6,"Up in X1H",4.298,-7.5940053044583,1.39995782155553e-05,19.54,5,5.02947809966247e-05,7.18610453221041e-06,3.08564444971618e-05,FALSE,TRUE,FALSE
"PDK3","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",1.94,"Up in X5H",4.298,7.59450441684613,1.39912913286393e-05,15.48,5,5.02947809966247e-05,3.29381645927086e-05,0.000111623780008623,TRUE,FALSE,FALSE
"SEC61G","Protein transport protein Sec61 subunit gamma",-0.9,"Up in X1H",4.297,-7.59027378212579,1.40617018045061e-05,20.4,2,5.04873116366885e-05,7.90270940240441e-07,5.29562078528051e-06,FALSE,FALSE,FALSE
"TNS3","Tensin-3;Tensin-3;Tensin-1",0.94,"Up in X5H",4.296,7.58779294310001,1.41031683222852e-05,18.02,1,5.06054863329059e-05,1.15607916125963e-07,1.18553213122587e-06,FALSE,TRUE,FALSE
"CCDC22","Coiled-coil domain-containing protein 22",0.79,"Up in X5H",4.294,7.58295970473734,1.41843342365834e-05,17.79,15,5.08350730938001e-05,4.55925049666863e-05,0.000148798042960774,FALSE,FALSE,FALSE
"CUSTOS","Protein CUSTOS",-1.01,"Up in X1H",4.294,-7.583218995552,1.41799671137516e-05,16.53,4,5.08350730938001e-05,1.62603605786398e-05,6.12818812380965e-05,FALSE,FALSE,FALSE
"GPHN","Gephyrin",0.5,"Up in X5H",4.292,7.57835517450187,1.42621287244501e-05,17.63,11,5.10829392630578e-05,4.48780356026127e-05,0.000146790125296108,FALSE,FALSE,FALSE
"DIS3L2","DIS3-like exonuclease 2",1.34,"Up in X5H",4.291,7.57596646528914,1.43026678515939e-05,16.35,15,5.11918797242459e-05,4.07788877005621e-05,0.000134873492746912,FALSE,FALSE,FALSE
"MAGOH","Protein mago nashi homolog",-0.42,"Up in X1H",4.291,-7.57537851638524,1.43126650870058e-05,20.93,10,5.11918797242459e-05,4.02673522118895e-05,0.000133405332048012,FALSE,TRUE,FALSE
"SARNP","SAP domain-containing ribonucleoprotein",-0.57,"Up in X1H",4.291,-7.57503559866609,1.43184993989567e-05,20.8,6,5.11918797242459e-05,1.40681437553992e-05,5.44416001312603e-05,FALSE,TRUE,FALSE
"VPS39","Vam6/Vps39-like protein",1.47,"Up in X5H",4.291,7.57417237437386,1.43331974418676e-05,15.75,7,5.1213483854789e-05,3.54519403298677e-05,0.000118655834576078,FALSE,TRUE,FALSE
"ABCB10","ATP-binding cassette sub-family B member 10, mitochondrial",0.57,"Up in X5H",4.289,7.57086858459562,1.43896014489083e-05,17.37,15,5.13839902071155e-05,5.42715405630058e-05,0.00017301977667635,FALSE,TRUE,FALSE
"RPL32","60S ribosomal protein L32",-1.17,"Up in X1H",4.288,-7.56860914477456,1.44283137506355e-05,18.94,3,5.14911534755792e-05,1.34216336466691e-05,5.23505644610026e-05,FALSE,TRUE,FALSE
"EFNA1","Ephrin-A1",0.91,"Up in X5H",4.286,7.56332989205776,1.45192053124537e-05,17.11,1,5.178429043628e-05,4.83111640719191e-08,6.31031253451535e-07,FALSE,FALSE,FALSE
"CD276","CD276 antigen",-1.4,"Up in X1H",4.285,-7.56154863673986,1.45500120694147e-05,15.63,3,5.1862904466703e-05,1.90912412792389e-05,7.01876784103038e-05,FALSE,FALSE,FALSE
"TMX3","Protein disulfide-isomerase TMX3",-0.57,"Up in X1H",4.285,-7.56089650728276,1.45613082717501e-05,18.79,8,5.18719211583053e-05,2.92429769741179e-05,0.000100951397173778,FALSE,TRUE,FALSE
"PROS1","Vitamin K-dependent protein S",0.38,"Up in X5H",4.284,7.5578023515242,1.46150345164509e-05,18.78,15,5.20319850985802e-05,7.9977850049418e-05,0.000241813458733984,TRUE,FALSE,FALSE
"DDX19A","ATP-dependent RNA helicase DDX19A",0.42,"Up in X5H",4.282,7.55334311198395,1.4692840628545e-05,19.84,16,5.22775333728807e-05,7.66249261282592e-05,0.000232666264293149,FALSE,FALSE,FALSE
"FKBP2","Peptidyl-prolyl cis-trans isomerase FKBP2",0.46,"Up in X5H",4.28,7.54880266633498,1.4772523378876e-05,21.32,6,5.24979104100958e-05,7.54403680914736e-06,3.20906296187814e-05,FALSE,TRUE,FALSE
"SFPQ","Splicing factor, proline- and glutamine-rich;Splicing factor, proline- and glutamine-rich;Non-POU domain-containing octamer-binding protein;Non-POU domain-containing octamer-binding protein",-0.86,"Up in X1H",4.28,-7.54884847170683,1.47717171896875e-05,22.17,1,5.24979104100958e-05,3.00059087235288e-09,9.86360899539555e-08,FALSE,TRUE,FALSE
"CD151","CD151 antigen",-1.55,"Up in X1H",4.276,-7.54095508077767,1.49113471672338e-05,18.08,2,5.29594484925106e-05,1.59240718352379e-05,6.0283258508703e-05,FALSE,FALSE,FALSE
"NRDC","Nardilysin",0.57,"Up in X5H",4.275,7.53905027055689,1.49452552677083e-05,17.46,15,5.30480356442892e-05,5.62572713107177e-05,0.000178868497767607,FALSE,FALSE,FALSE
"TRMT11","tRNA (guanine(10)-N2)-methyltransferase homolog",0.95,"Up in X5H",4.274,7.53548909182818,1.5008872397957e-05,16.31,5,5.32419052630166e-05,2.28642447655522e-05,8.2042290041099e-05,FALSE,TRUE,FALSE
"VPS37C","Vacuolar protein sorting-associated protein 37C",1.9,"Up in X5H",4.267,7.52125509679031,1.52660844497742e-05,15.42,1,5.40894740654575e-05,1.81326205400704e-05,6.73091064840632e-05,FALSE,FALSE,FALSE
"SP3","Transcription factor Sp3",-1.91,"Up in X1H",4.266,-7.51811783579529,1.53234131836964e-05,15.57,3,5.42601052112099e-05,2.84736422776151e-05,9.8756472073065e-05,FALSE,FALSE,FALSE
"CDC16","Cell division cycle protein 16 homolog",-0.74,"Up in X1H",4.265,-7.51752009769402,1.53343622861568e-05,17.73,6,5.42664005066926e-05,2.3341245847391e-05,8.3349518213043e-05,FALSE,FALSE,FALSE
"EIF2B1","Translation initiation factor eIF-2B subunit alpha",0.47,"Up in X5H",4.264,7.51352588166847,1.54077437040156e-05,17.7,12,5.44827997250951e-05,5.42688998792155e-05,0.00017301977667635,FALSE,FALSE,FALSE
"FNBP1","Formin-binding protein 1",1.7,"Up in X5H",4.264,7.51319025164931,1.54139271150599e-05,15.73,4,5.44827997250951e-05,3.12499528135082e-05,0.00010669704027555,FALSE,FALSE,FALSE
"ISCA1","Iron-sulfur cluster assembly 1 homolog, mitochondrial",-0.73,"Up in X1H",4.262,-7.51019499117816,1.54692284639612e-05,17.75,3,5.46456267589603e-05,1.0642891225376e-06,6.63582585674921e-06,FALSE,TRUE,FALSE
"ASDURF","ASNSD1 upstream open reading frame protein",2.15,"Up in X5H",4.26,7.50403140243643,1.55837015354381e-05,14.64,1,5.50171610890137e-05,2.24401460105939e-05,8.07163185074068e-05,FALSE,FALSE,FALSE
"B3GAT3","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3",-0.79,"Up in X1H",4.259,-7.5020463522366,1.56207632400296e-05,17.74,6,5.51151199113029e-05,2.56265558144224e-05,9.01500182841482e-05,FALSE,FALSE,FALSE
"HDHD2","Haloacid dehalogenase-like hydrolase domain-containing protein 2",2.07,"Up in X5H",4.256,7.49674667451791,1.57201773170345e-05,15.96,3,5.5432830265133e-05,3.08789603477048e-05,0.000105613184033162,TRUE,FALSE,FALSE
"PSME3","Proteasome activator complex subunit 3",-0.57,"Up in X1H",4.253,-7.49072429536558,1.58339779202328e-05,20.56,17,5.58008620333637e-05,6.20264046885836e-05,0.000194597156173038,FALSE,TRUE,FALSE
"LDLR","Low-density lipoprotein receptor",-0.58,"Up in X1H",4.253,-7.48987592014462,1.5850080391075e-05,18.28,13,5.58243605202325e-05,5.34753270159849e-05,0.000171034329704639,FALSE,TRUE,FALSE
"RPL15","60S ribosomal protein L15",-0.45,"Up in X1H",4.246,-7.47635535883303,1.61091054399281e-05,22.43,12,5.67029011826619e-05,5.79403311718155e-05,0.000183235136046837,FALSE,TRUE,FALSE
"SLC12A7","Solute carrier family 12 member 7",0.87,"Up in X5H",4.245,7.47275150387776,1.61789162971937e-05,17.43,8,5.69147727291884e-05,3.81443334362195e-05,0.000127011829455324,FALSE,TRUE,FALSE
"SEC62","Translocation protein SEC62",0.69,"Up in X5H",4.238,7.45993753764622,1.64297946543341e-05,18.19,6,5.7762979779973e-05,2.32209930948193e-05,8.30203118683057e-05,FALSE,TRUE,FALSE
"NDUFA8","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8",0.49,"Up in X5H",4.238,7.45836279451478,1.64609143321276e-05,19.34,10,5.78173412185374e-05,4.5033788230265e-05,0.000147218190584794,FALSE,TRUE,FALSE
"SLC22A18","Solute carrier family 22 member 18",-1.25,"Up in X1H",4.238,-7.45816640854844,1.64647997216893e-05,17.25,2,5.78173412185374e-05,9.84834917110317e-06,4.02992268640508e-05,FALSE,TRUE,FALSE
"PPM1B","Protein phosphatase 1B",0.92,"Up in X5H",4.237,7.45565960765104,1.65144824664814e-05,17.54,4,5.79574096999823e-05,1.61744830762646e-05,6.09970786247658e-05,FALSE,FALSE,FALSE
"MMP3","Stromelysin-1",2.17,"Up in X5H",4.233,7.44827895393421,1.66617028622707e-05,15.28,1,5.84394166188829e-05,2.43089074698267e-05,8.62324973015377e-05,TRUE,FALSE,FALSE
"SMC3","Structural maintenance of chromosomes protein 3",-0.27,"Non-significant",4.221,-7.42310641867489,1.71745642473683e-05,18.89,35,6.01669015107626e-05,0.000335113594991811,0.000825506720052683,FALSE,TRUE,FALSE
"UGGT1","UDP-glucose:glycoprotein glucosyltransferase 2;UDP-glucose:glycoprotein glucosyltransferase 1",0.39,"Up in X5H",4.221,7.42338781858272,1.71687377774071e-05,20.3,63,6.01669015107626e-05,0.000144490600933972,0.000402898626638225,FALSE,TRUE,FALSE
"SLC25A33","Solute carrier family 25 member 33",-0.98,"Up in X1H",4.22,-7.42066710029735,1.72251605821207e-05,17.52,3,6.03084468428452e-05,9.81854753813462e-06,4.02329264426195e-05,TRUE,FALSE,FALSE
"CSTF1","Cleavage stimulation factor subunit 1",-0.33,"Non-significant",4.218,-7.41740148469496,1.72931479438368e-05,18.52,15,6.05106779323965e-05,0.000113710533278152,0.000328367606347889,FALSE,TRUE,FALSE
"HABP4","Intracellular hyaluronan-binding protein 4",2.28,"Up in X5H",4.218,7.41578935376458,1.73268178663937e-05,15.96,4,6.05926603519216e-05,3.93664439618415e-05,0.000130713383233567,FALSE,FALSE,FALSE
"MMTAG2","Multiple myeloma tumor-associated protein 2",-1.05,"Up in X1H",4.217,-7.41450023154158,1.73537925404602e-05,16.86,2,6.06511461676923e-05,4.74696817309658e-06,2.18752419627823e-05,FALSE,TRUE,FALSE
"SNRPD3","Small nuclear ribonucleoprotein Sm D3",-0.68,"Up in X1H",4.216,-7.41268961119911,1.73917560310464e-05,22.46,4,6.07479459478759e-05,5.87818877711905e-06,2.61709879565187e-05,FALSE,TRUE,FALSE
"AJUBA","LIM domain-containing protein ajuba",1.72,"Up in X5H",4.216,7.4118536682296,1.74093135775893e-05,16.19,5,6.0773397308906e-05,3.90909582439328e-05,0.000129944494342332,FALSE,FALSE,FALSE
"VPS36","Vacuolar protein-sorting-associated protein 36",0.99,"Up in X5H",4.216,7.41038902914231,1.74401219381771e-05,17.19,6,6.08102403191239e-05,3.42951455403465e-05,0.000115232468008081,FALSE,FALSE,FALSE
"PPP4R3B","Serine/threonine-protein phosphatase 4 regulatory subunit 3B;Serine/threonine-protein phosphatase 4 regulatory subunit 3B;Serine/threonine-protein phosphatase 4 regulatory subunit 3A",0.77,"Up in X5H",4.214,7.40565608850543,1.75400812091271e-05,17.26,5,6.10857330867598e-05,1.95929918002418e-05,7.18288305340959e-05,FALSE,FALSE,FALSE
"KCT2","Keratinocyte-associated transmembrane protein 2",-1.28,"Up in X1H",4.207,-7.39254796864946,1.78201647783458e-05,18.79,3,6.20246558785131e-05,2.07295910024459e-05,7.52035499457218e-05,FALSE,TRUE,FALSE
"UTRN","Utrophin",0.33,"Non-significant",4.203,7.38293674563651,1.80285948770538e-05,18.27,77,6.26763783122956e-05,0.000217184340543972,0.000568367865103353,FALSE,TRUE,FALSE
"CDKN2A","Cyclin-dependent kinase inhibitor 2A",2.33,"Up in X5H",4.201,7.37961222584997,1.81013018644168e-05,15.72,4,6.28801603060125e-05,4.12788976925507e-05,0.000136374783722402,FALSE,FALSE,FALSE
"CHMP4B","Charged multivesicular body protein 4b",0.57,"Up in X5H",4.201,7.37871485900483,1.81209813871478e-05,20.79,7,6.28801603060125e-05,2.8169742699668e-05,9.79896340705089e-05,FALSE,FALSE,FALSE
"CLTA","Clathrin light chain A",-0.58,"Up in X1H",4.201,-7.37831672207756,1.81297200409088e-05,21.26,4,6.28801603060125e-05,1.83335026891395e-06,1.0229694218408e-05,FALSE,TRUE,FALSE
"SF3A2","Splicing factor 3A subunit 2",-0.86,"Up in X1H",4.201,-7.37893778472563,1.81160904054059e-05,19.77,4,6.28801603060125e-05,1.53389645751514e-05,5.84045388617574e-05,FALSE,TRUE,FALSE
"LAGE3","EKC/KEOPS complex subunit LAGE3",1.09,"Up in X5H",4.201,7.37743212429198,1.81491522372774e-05,17.69,1,6.29106817738551e-05,2.07306299854934e-06,1.13157876037052e-05,FALSE,FALSE,FALSE
"BLVRA","Biliverdin reductase A",0.52,"Up in X5H",4.199,7.37204277247668,1.82680281673319e-05,20.38,13,6.3285669008257e-05,6.38695582466409e-05,0.00019984990806207,FALSE,TRUE,FALSE
"POP1","Ribonucleases P/MRP protein subunit POP1",-0.49,"Up in X1H",4.193,-7.36123195837688,1.85090288869752e-05,16.86,9,6.40830450112534e-05,4.23698605723695e-05,0.000139667111424351,FALSE,TRUE,FALSE
"TBC1D10B","TBC1 domain family member 10B",1.54,"Up in X5H",4.192,7.35853821395687,1.85696117222556e-05,16.41,3,6.42552003278282e-05,2.82561487433821e-05,9.80596082783528e-05,FALSE,FALSE,FALSE
"LIMA1","LIM domain and actin-binding protein 1",0.52,"Up in X5H",4.188,7.35008953257187,1.87610160840684e-05,18.18,13,6.48795629277805e-05,6.53879421776436e-05,0.000203846392974245,FALSE,TRUE,FALSE
"PSME2","Proteasome activator complex subunit 2",0.55,"Up in X5H",4.183,7.34077820694717,1.89744321346885e-05,20.75,15,6.55792727458832e-05,6.9566488266325e-05,0.000214535987751555,FALSE,FALSE,FALSE
"GLTP","Glycolipid transfer protein",3.18,"Up in X5H",4.182,7.33730013101709,1.9054820439116e-05,16.45,3,6.57802640246497e-05,4.40509275006884e-05,0.000144484111985351,TRUE,FALSE,FALSE
"NUDT16","U8 snoRNA-decapping enzyme;U8 snoRNA-decapping enzyme;Tudor-interacting repair regulator protein",1.14,"Up in X5H",4.182,7.33762729214657,1.90472431754398e-05,17.14,1,6.57802640246497e-05,3.51597612092776e-06,1.72057708308173e-05,FALSE,FALSE,FALSE
"CYC1","Cytochrome c1, heme protein, mitochondrial",0.5,"Up in X5H",4.178,7.32992526691346,1.9226492806721e-05,19.78,10,6.63342028789318e-05,5.17095726479659e-05,0.000166376042065261,FALSE,TRUE,FALSE
"BUD13","BUD13 homolog",-1.33,"Up in X1H",4.175,-7.32331229965196,1.93818490487364e-05,16.41,5,6.67983565124961e-05,3.89753072493955e-05,0.000129632879704707,FALSE,FALSE,FALSE
"PRRC2C","Protein PRRC2C",-0.36,"Non-significant",4.17,-7.31363228289626,1.96117054434648e-05,18.38,21,6.75450879563337e-05,0.000142977855130106,0.000399810949340661,FALSE,FALSE,FALSE
"POLG","DNA polymerase subunit gamma-1",0.48,"Up in X5H",4.163,7.29932662965097,1.99568003284377e-05,17.79,21,6.86537136880034e-05,9.60260752576734e-05,0.000283102285650052,FALSE,TRUE,FALSE
"UBR5","E3 ubiquitin-protein ligase UBR5",-0.44,"Up in X1H",4.159,-7.28937182160357,2.0200802072984e-05,16.6,24,6.94123959731975e-05,0.000112742518266113,0.000325731191689743,FALSE,TRUE,FALSE
"EIF3D","Eukaryotic translation initiation factor 3 subunit D",-0.33,"Non-significant",4.156,-7.28362151682742,2.03432121600794e-05,20.25,14,6.98611644522284e-05,0.00011273893378149,0.000325731191689743,FALSE,TRUE,FALSE
